Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
09-04-2021,00:00,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
09-04-2021,00:30,-,canvas,2021,Canvaslus,-,-,-,Serie,-
09-04-2021,05:55,-,vtm,2018,Polly Pocket,5,26, Animatie,Jeugdprogramma,1
09-04-2021,06:15,-,vtm,1999,Kabouter plop,55,60, Kleuterprogramma,Jeugdprogramma,1999
09-04-2021,06:20,-,vtm,2009,TiTaToverfeest,135,250, Jeugd,Jeugdprogramma,1
09-04-2021,06:35,-,vtm,2016,The Mr. Peabody & Sherman Show,5,26, Animatie,Jeugdprogramma,2
09-04-2021,06:55,-,vtm,2018,Wakandy,5,40,-,Show,1
09-04-2021,07:10,-,vtm,2020,Lego Ninjago,5,32, Animatie,Jeugdprogramma,2
09-04-2021,07:20,-,vtm,2018,Pokémon: Zon & Maan Ultra-Avonturen,39,48, Animatie,Jeugdprogramma,21
09-04-2021,07:40,-,vtm,2018,Pokémon: Zon & Maan Ultra-Avonturen,40,48, Animatie,Jeugdprogramma,21
09-04-2021,08:05,-,vtm,2017,De Buurtpolitie - Extra,73,75, Reality,Show,1
09-04-2021,08:15,-,vtm,2017,De Buurtpolitie - Extra,74,75, Reality,Show,1
09-04-2021,08:30,-,vtm,2015,Lang Leve Koning Julien,5,26, Animatie,Jeugdprogramma,2
09-04-2021,08:55,-,vtm,2015,Het Middelbaar,9,71, Jeugd,Jeugdprogramma,3
09-04-2021,09:00,-,een,-,Lentebeelden,-,-,-,Serie,-
09-04-2021,09:00,-,canvas,-,Lentebeelden,-,-,-,Serie,-
09-04-2021,09:05,-,vtm,2015,Het Middelbaar,10,71, Jeugd,Jeugdprogramma,3
09-04-2021,09:15,"Kristel Verbeke, Karen Damen, Josje Huisman, Winston Post (Bas), Jacques Vermeire (Marcel)",vtm,2011,Hallo K3,5,12, Sitcom,Reeks,2
09-04-2021,09:40,-,vtm,2020,Loïc: Zot van Koken,40,95, Culinair Magazine,Serie,2
09-04-2021,09:55,-,vtm,2020,Geen uitzending,-,-,-,-,-
09-04-2021,10:00,-,een,2020,Radio 2 op één,159,220,-,Serie,2020
09-04-2021,10:00,-,canvas,2021,Ketnet Junior,99,365, Kleuterprogramma,Jeugdprogramma,2021
09-04-2021,11:55,-,vtm,2019,Echte Verhalen: De Buurtpolitie,9,40, Reality,Show,11
09-04-2021,12:00,-,een,-,Lentebeelden,-,-,-,Serie,-
09-04-2021,12:20,-,een,-,Dagelijkse Kost,2775,240, Culinair Magazine,Serie,11
09-04-2021,12:35,-,een,2020,Blokken,5641,205, Quiz,Spelprogramma,2020
09-04-2021,12:25,"Tinne Oltmans (Lisa), Oscar Willems (Jonas), Anouck Luyten (Katja), Bert Verbeke (Gert), Hilde De Baerdemaeker (Suzanne)",vtm,2021,Lisa,53,205, Romantische Serie,Reeks,1
09-04-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
09-04-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
09-04-2021,13:30,-,een,2020,Iedereen beroemd,190,246,-,Reportage,2020
09-04-2021,13:55,"Pol Goossen (Frank), Marleen Merckx (Simonne), Leah Thys (Marianne), Monika Van Lierde (Ann), Annick Segal (Rosa)",een,2017,Thuis,4430,-, Soap,Reeks,23
09-04-2021,13:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
09-04-2021,13:30,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
09-04-2021,13:35,"Caroline Maes (Mieke), Annie Geeraerts (Anna), Ray Verhaeghe (Albert), Sandrine André (Véronique), Gunter De Batselier (Peter)",vtm,2015,Familie,55,223, Soap,Reeks,25
09-04-2021,14:20,"Yannick De Coster (Pieter Leirs), Kim Van Oncen (Saartje De Smet), Tom Dingenen (Bart Van Roelenbosch), Evelien Van Hamme (Tinne Dejaeghere), Kristof Goffin (Alex Hudders)",een,2021,Dertigers,4,24, Soap,Reeks,3
09-04-2021,14:45,-,een,-,Clips,1,-, Muziekclips,Serie,1
09-04-2021,14:15,"Greet Rouffaer (Nellie), Marc Coessens (Frank), Arnold Willems (Georges), Peter Bulckaen (Max), Kürt Rogiers (Sneyers)",vtm,2004,Wittekerke,69,88, Soap,Reeks,12
09-04-2021,15:05,"Aidan Turner (Ross Poldark), Eleanor Tomlinson (Demelza Poldark), Jack Farthing (George Warleggan), Pip Torrens (Cary Warleggan)",een,2019,Poldark,5,8, Dramaserie,Reeks,5
09-04-2021,15:20,"Kate Walsh (Dr. Addison Montgomery), Paul Adelstein (Dr. Cooper Freedman), KaDee Strickland (Dr. Charlotte King), Taye Diggs (Dr. Sam Bennett), Amy Brenneman (Dr. Violet Turner)",vtm,2012,Private Practice,7,13, Dramaserie,Reeks,6
09-04-2021,16:05,Ed St Giles,een,2018,The World's Most Extraordinary Homes,2,8, Lifestyle,Magazine,2
09-04-2021,16:50,"Ariel Kaplan (Imogen), Tim Phillipps (Daniel), Stefan Dennis (Paul), Mavournee Hazel (Piper), Tom Oliver (Lou Carpenter)",een,2020,Buren,8203,-, Soap,Reeks,2020
