Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
10-04-2021,01:40,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
10-04-2021,23:55,-,canvas,2021,Canvaslus,-,-,-,Serie,-
10-04-2021,05:50,-,vtm,2016,Thomas de Trein,1,26, Animatie,Jeugdprogramma,20
10-04-2021,06:00,"Walter Baele (Shelby/Max), Free Souffriau (Maya), Thomas Van Goethem (Willy), Jan Van Looveren (Kurt/Paul), Eline De Munck (Ben)",vtm,2012,Maya de Bij,1,78, Peuterprogramma,Jeugdprogramma,1
10-04-2021,06:15,"Walter Baele (Shelby/Max), Free Souffriau (Maya), Thomas Van Goethem (Willy), Jan Van Looveren (Kurt/Paul), Eline De Munck (Ben)",vtm,2012,Maya de Bij,2,78, Peuterprogramma,Jeugdprogramma,1
10-04-2021,06:25,-,vtm,2016,The Mr. Peabody & Sherman Show,1,26, Animatie,Jeugdprogramma,2
10-04-2021,06:50,-,vtm,2015,Lang Leve Koning Julien,1,26, Animatie,Jeugdprogramma,2
10-04-2021,07:10,-,vtm,2015,Lang Leve Koning Julien,2,26, Animatie,Jeugdprogramma,2
10-04-2021,07:35,-,vtm,2017,De Buurtpolitie - Extra,65,75, Reality,Show,1
10-04-2021,07:50,-,vtm,2017,De Buurtpolitie - Extra,66,75, Reality,Show,1
10-04-2021,08:00,-,een,2020,Radio 2 op één,26,220,-,Serie,2020
10-04-2021,08:05,-,vtm,2018,Pokémon: Zon & Maan Ultra-Avonturen,31,48, Animatie,Jeugdprogramma,21
10-04-2021,08:25,-,vtm,2018,Pokémon: Zon & Maan Ultra-Avonturen,32,48, Animatie,Jeugdprogramma,21
10-04-2021,08:50,"Kristel Verbeke, Karen Damen, Josje Huisman, Winston Post (Bas), Jacques Vermeire (Marcel)",vtm,2011,Hallo K3,1,12, Sitcom,Reeks,2
10-04-2021,09:00,-,canvas,-,Lentebeelden,-,-,-,Serie,-
10-04-2021,09:15,-,vtm,2016,Kong - Koning van de Apen,10,16, Animatie,Jeugdprogramma,1
10-04-2021,09:35,"Ivo Pauwels (Nonkel Jef), Linda De Ridder (Odette Nollet), Luc Verhoeven (Izzi), Paul-Emile Van Royen (Louis), Nicole Laurent (Magda)",vtm,2000,Nonkel Jef,23,27, Komische Serie,Reeks,6
10-04-2021,10:00,-,een,-,Lentebeelden,-,-,-,Serie,-
10-04-2021,10:00,-,canvas,2021,Ketnet Junior,100,365, Kleuterprogramma,Jeugdprogramma,2021
10-04-2021,10:00,-,vtm,2020,Geen uitzending,-,-,-,-,-
10-04-2021,12:30,-,een,2021,De week van Bruzz,15,52, Actualiteitenmagazine,Serie,2021
10-04-2021,12:05,"Gabriel Macht (Harvey Specter), Rick Hoffman (Louis Litt), Sarah Rafferty (Donna Paulsen), Pierce Wendell (Robert Zane), Katherine Heigl (Samantha Wheeler)",vtm,2018,Suits,15,16, Dramaserie,Reeks,8
10-04-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
10-04-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
10-04-2021,13:30,-,een,-,Dieren in nesten,8,-, Natuurmagazine,Serie,16
10-04-2021,13:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
10-04-2021,13:30,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
10-04-2021,13:35,"Jason Beghe (Hank Voight), Jesse Lee Soffer (Jay Halstead), Patrick John Flueger (Adam Ruzek), Marina Squerciati (Kim Burgess), LaRoyce Hawkins (Kevin Atwater)",vtm,2020,Chicago PD,8,20, Misdaadserie,Reeks,7
10-04-2021,14:00,-,een,-,Clips,1,-, Muziekclips,Serie,1
10-04-2021,14:15,"Neil Dudgeon (DCI John Barnaby), Lee Gwilym (DS Charlie Nelson), Fiona Dolman (Sarah Barnaby), Tamzin Malleson (Kate Wilding)",een,2014,Midsomer murders,1,10, Misdaadserie,Reeks,16
10-04-2021,14:30,"Eline Kuppens (An), Maaike Neuville (Elke), Marieke Dilles (Karen), Ellen Schoeters (Dorien), Kevin Janssens (Kevin)",vtm,2012,Weekend aan Zee,-,-, Wetenschap,Magazine,-
10-04-2021,15:45,-,een,2021,De Wonderjaren,3,9, Natuurdocumentaire,Serie,1
10-04-2021,16:35,-,een,2017,De Aarde vanuit de hemel,7,13, Muziekshow,Serie,5
10-04-2021,16:25,-,vtm,2020,The Voice van Vlaanderen,10,17, Misdaadserie,Reeks,7
10-04-2021,17:05,"Koen De Bouw (prof. Jasper Teerlinck), Steve Geerts (John Van Humbeek), Herwig Ilegems (Paul Rabet), Tanja Oostvogels (Christina Flamant), Carry Goossens (Walter De Paepe)",een,2018,Professor T.,5,13, Verkeersinfo,Informatief,3
10-04-2021,18:00,-,een,2021,Kijk uit,15,52,-,Serie,2021
10-04-2021,18:04,-,een,2021,Het journaal,-,-, Natuurdocumentaire,Serie,-
10-04-2021,18:10,-,een,2017,One Wild Day,3,3,-,Serie,1
10-04-2021,18:10,-,vtm,2021,VTM NIEUWS,-,-, Realityreeks,Reportage,-
10-04-2021,18:15,-,vtm,2019,Beestig,7,9,-,Serie,2
10-04-2021,19:00,-,een,2021,Het journaal,-,-, Weerbericht,Nieuws,-
10-04-2021,19:30,-,een,2021,Het weer,-,-,-,Reportage,-
10-04-2021,19:35,-,een,2020,Iedereen beroemd,192,246, Natuurdocumentaire,Serie,2020
10-04-2021,19:05,-,canvas,2020,The Secret Life of Mangroves,3,3,-,Serie,1
