Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
16-04-2021,23:15,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
16-04-2021,00:30,-,canvas,2021,Canvaslus,-,-,-,Serie,-
16-04-2021,05:45,-,vtm,2018,Polly Pocket,10,26, Animatie,Jeugdprogramma,1
16-04-2021,06:05,-,vtm,1999,Kabouter plop,197,60, Kleuterprogramma,Jeugdprogramma,1999
16-04-2021,06:10,-,vtm,2009,TiTaToverfeest,140,250, Jeugd,Jeugdprogramma,1
16-04-2021,06:25,-,vtm,2016,The Mr. Peabody & Sherman Show,10,26, Animatie,Jeugdprogramma,2
16-04-2021,06:45,-,vtm,2018,Wakandy,10,40,-,Show,1
16-04-2021,07:00,-,vtm,2020,Lego Ninjago,10,32, Animatie,Jeugdprogramma,2
16-04-2021,07:10,-,vtm,2018,Pokémon: Zon & Maan Ultra-Avonturen,1,48, Animatie,Jeugdprogramma,21
16-04-2021,07:30,-,vtm,2018,Pokémon: Zon & Maan Ultra-Avonturen,2,48, Animatie,Jeugdprogramma,21
16-04-2021,07:55,-,vtm,2018,De Buurtpolitie - Extra,8,24, Reality,Show,2
16-04-2021,08:10,-,vtm,2018,De Buurtpolitie - Extra,9,24, Reality,Show,2
16-04-2021,08:25,-,vtm,2015,Lang Leve Koning Julien,10,26, Animatie,Jeugdprogramma,2
16-04-2021,08:50,-,vtm,2015,Het Middelbaar,19,71, Jeugd,Jeugdprogramma,3
16-04-2021,09:00,-,een,-,Lentebeelden,-,-,-,Serie,-
16-04-2021,09:00,-,canvas,-,Lentebeelden,-,-,-,Serie,-
16-04-2021,09:00,-,vtm,2015,Het Middelbaar,20,71, Jeugd,Jeugdprogramma,3
16-04-2021,09:10,"Kristel Verbeke, Karen Damen, Josje Huisman, Winston Post (Bas), Jacques Vermeire (Marcel)",vtm,2011,Hallo K3,10,12, Sitcom,Reeks,2
16-04-2021,09:35,-,vtm,2020,Loïc: Zot van Koken,45,95, Culinair Magazine,Serie,2
16-04-2021,09:50,-,vtm,2020,Geen uitzending,-,-,-,-,-
16-04-2021,10:00,-,een,2020,Radio 2 op één,164,220,-,Serie,2020
16-04-2021,10:00,-,canvas,2021,Ketnet Junior,106,365, Kleuterprogramma,Jeugdprogramma,2021
16-04-2021,11:55,-,vtm,2019,Echte Verhalen: De Buurtpolitie,14,40, Reality,Show,11
16-04-2021,12:00,-,een,-,Lentebeelden,-,-,-,Serie,-
16-04-2021,12:20,-,een,-,Dagelijkse Kost,2781,240, Culinair Magazine,Serie,11
16-04-2021,12:35,-,een,2020,Blokken,5646,205, Quiz,Spelprogramma,2020
16-04-2021,12:25,"Tinne Oltmans (Lisa), Oscar Willems (Jonas), Anouck Luyten (Katja), Bert Verbeke (Gert), Hilde De Baerdemaeker (Suzanne)",vtm,2021,Lisa,58,205, Romantische Serie,Reeks,1
16-04-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
16-04-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
16-04-2021,13:30,-,een,2020,Iedereen beroemd,196,246,-,Reportage,2020
16-04-2021,13:55,"Pol Goossen (Frank), Marleen Merckx (Simonne), Leah Thys (Marianne), Monika Van Lierde (Ann), Annick Segal (Rosa)",een,2017,Thuis,4433,-, Soap,Reeks,23
16-04-2021,13:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
16-04-2021,13:30,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
16-04-2021,13:35,"Caroline Maes (Mieke), Annie Geeraerts (Anna), Ray Verhaeghe (Albert), Sandrine André (Véronique), Gunter De Batselier (Peter)",vtm,2015,Familie,60,223, Soap,Reeks,25
16-04-2021,14:20,"Yannick De Coster (Pieter Leirs), Kim Van Oncen (Saartje De Smet), Tom Dingenen (Bart Van Roelenbosch), Evelien Van Hamme (Tinne Dejaeghere), Kristof Goffin (Alex Hudders)",een,2021,Dertigers,8,24, Soap,Reeks,3
16-04-2021,14:45,-,een,-,Dieren in nesten,2,13, Natuurmagazine,Serie,17
16-04-2021,14:20,"Greet Rouffaer (Nellie), Marc Coessens (Frank), Arnold Willems (Georges), Peter Bulckaen (Max), Kürt Rogiers (Sneyers)",vtm,2004,Wittekerke,74,88, Soap,Reeks,12
16-04-2021,15:15,"Olivia Cooke (Becky Sharp), Claudia Jessie (Amelia Sedley), Tom Bateman (Rawdon Crawley), Johnny Flynn (William Dobbin), Charlie Rowe (George Osborne)",een,2018,Vanity Fair,1,7, Dramaserie,Reeks,2018
16-04-2021,15:25,"Kate Walsh (Dr. Addison Montgomery), Paul Adelstein (Dr. Cooper Freedman), KaDee Strickland (Dr. Charlotte King), Taye Diggs (Dr. Sam Bennett), Amy Brenneman (Dr. Violet Turner)",vtm,2012,Private Practice,12,13, Dramaserie,Reeks,6
16-04-2021,16:05,Ed St Giles,een,2018,The World's Most Extraordinary Homes,4,8, Lifestyle,Magazine,2
16-04-2021,16:50,"Ariel Kaplan (Imogen), Tim Phillipps (Daniel), Stefan Dennis (Paul), Mavournee Hazel (Piper), Tom Oliver (Lou Carpenter)",een,2020,Buren,8207,-, Soap,Reeks,2020
16-04-2021,16:20,-,vtm,2013,America's Funniest Home Video's,31,44, Komische Show,Serie,25
16-04-2021,16:40,"Antje Hagen (Hildegard), Sepp Schauer (Alfons), Joachim Lätsch (André), Dieter Bach (Christoph), Uta Kargel (Eva)",vtm,2020,Sturm der Liebe,182,250, Soap,Reeks,16
16-04-2021,17:10,"Koen De Bouw (prof. Jasper Teerlinck), Steve Geerts (John Van Humbeek), Herwig Ilegems (Paul Rabet), Tanja Oostvogels (Christina Flamant), Carry Goossens (Walter De Paepe)",een,2018,Professor T.,9,13, Misdaadserie,Reeks,3
16-04-2021,17:40,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
