Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
20-02-2021,02:00,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
20-02-2021,00:10,-,canvas,2021,Canvaslus,-,-,-,Serie,-
20-02-2021,01:45,-,vtm,-,Qmusic,-,-,-,-,-
20-02-2021,05:00,-,vier,-,Geen uitzending,-,-,-,Serie,-
20-02-2021,06:05,-,vtm,2017,Brandweerman Sam,5,13, Tekenfilm,Jeugdprogramma,11
20-02-2021,06:10,-,vtm,2017,Spirit: Samen Vrij,25,26, Tekenfilm,Jeugdprogramma,1
20-02-2021,06:35,-,vtm,2017,Spirit: Samen Vrij,26,26, Tekenfilm,Jeugdprogramma,1
20-02-2021,06:55,-,vtm,2018,Polly Pocket,1,26, Animatie,Jeugdprogramma,1
20-02-2021,07:15,-,vtm,2018,Polly Pocket,2,26, Animatie,Jeugdprogramma,1
20-02-2021,07:40,-,vtm,2016,Lang Leve Koning Julien,5,26, Animatie,Jeugdprogramma,3
20-02-2021,08:00,-,een,2020,Radio 2 op één,19,220,-,Serie,2020
20-02-2021,08:00,-,vtm,2016,Lang Leve Koning Julien,6,26, Animatie,Jeugdprogramma,3
20-02-2021,08:25,-,vtm,2018,Tarzan en Jane,3,5, Tekenfilm,Jeugdprogramma,2
20-02-2021,08:45,-,vtm,2018,Tarzan en Jane,4,5, Tekenfilm,Jeugdprogramma,2
20-02-2021,08:50,-,vier,2013,De Wereld op je Bord,8,21, Culinair Magazine,Serie,1
20-02-2021,09:00,-,canvas,-,Winterbeelden,-,-,-,Serie,-
20-02-2021,09:05,-,vtm,2018,De Buurtpolitie - Extra,19,24, Reality,Show,2
20-02-2021,09:20,-,vtm,2018,De Buurtpolitie - Extra,20,24, Reality,Show,2
20-02-2021,09:35,"Ivo Pauwels (Nonkel Jef), Linda De Ridder (Odette Nollet), Luc Verhoeven (Izzi), Paul-Emile Van Royen (Louis), Nicole Laurent (Magda)",vtm,2000,Nonkel Jef,9,27, Komische Serie,Reeks,6
20-02-2021,09:10,-,vier,2010,Tot op de Graat,23,40, Culinair Magazine,Serie,1
20-02-2021,09:25,-,vier,2016,DIY (Do It Yourself),8,-, Culinair Magazine,Serie,1
20-02-2021,09:55,-,vier,-,Geen uitzending,-,-,-,Serie,-
20-02-2021,10:00,-,een,-,Winterbeelden,-,-,-,Serie,-
20-02-2021,10:00,-,canvas,2021,Ketnet Junior,51,365, Kleuterprogramma,Jeugdprogramma,2021
20-02-2021,10:00,-,vtm,2020,Geen uitzending,-,-,-,-,-
20-02-2021,12:25,-,een,2021,De week van Bruzz,8,52, Actualiteitenmagazine,Serie,2021
20-02-2021,12:00,"Gabriel Macht (Harvey Specter), Rick Hoffman (Louis Litt), Sarah Rafferty (Donna Paulsen), Pierce Wendell (Robert Zane), Katherine Heigl (Samantha Wheeler)",vtm,2018,Suits,8,16, Dramaserie,Reeks,8
20-02-2021,12:00,Jay R. Ferguson (Chip Curry),vier,2018,Living Biblically,3,13, Komische Serie,Reeks,1
20-02-2021,12:25,-,vier,-,Geen uitzending,-,-,-,Serie,-
20-02-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
20-02-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
20-02-2021,13:30,-,een,2021,Sporza: Veldrijden,-,-, Veldrijden,Sport,-
20-02-2021,13:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
20-02-2021,13:30,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
20-02-2021,13:35,"Jennifer Lopez (Harlee Santos), Warren Kole (Robert Stahl), Drea de Matteo (Tess Nazario), Ray Liotta (Matt Wozniak), Dayo Okeniyi (Michael Loman)",vtm,2018,Shades of Blue,5,13, Misdaadserie,Reeks,3
20-02-2021,14:25,"Tim Allen (Mike Baxter), Nancy Travis (Vanessa Baxter), Hector Elizondo (Ed Alzate), Christoph Sanders (Kyle Anderson), Amanda Fuller (Kristin Baxter)",vtm,2020,Last Man Standing,12,21, Komische Serie,Reeks,8
20-02-2021,15:20,-,canvas,2021,Sporza: basketbal,-,-, Basket,Sport,-
20-02-2021,15:05,-,vtm,2017,Lego Masters UK,4,4, Spelshow,Serie,1
20-02-2021,15:30,-,vier,2016,Soep!,12,20, Culinair Magazine,Serie,1
20-02-2021,15:45,-,vier,2011,Meesterlijke Klassiekers,8,20, Culinair Magazine,Serie,1
20-02-2021,16:25,-,een,-,Clips,1,-, Muziekclips,Serie,1
