Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
05-02-2021,01:40,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
05-02-2021,00:50,-,canvas,2021,Canvaslus,-,-,-,Serie,-
05-02-2021,05:50,-,vtm,2017,Brandweerman Sam,12,13, Tekenfilm,Jeugdprogramma,11
05-02-2021,00:30,-,vier,-,Geen uitzending,-,-,-,Serie,-
05-02-2021,06:00,-,vtm,2014,De Proefknuffels,25,30,-,Jeugdprogramma,1
05-02-2021,06:10,-,vtm,2009,TiTaToverfeest,49,250, Jeugdreeks,Jeugdprogramma,1
05-02-2021,06:25,-,vtm,2009,TiTaToverfeest,50,250, Jeugdreeks,Jeugdprogramma,1
05-02-2021,06:40,-,vtm,1998,Kabouter plop,25,107, Kleuterprogramma,Jeugdprogramma,1998
05-02-2021,06:45,-,vtm,-,-,-,-,-,-,-
05-02-2021,07:10,-,vtm,2015,Lang Leve Koning Julien,25,26, Tekenfilm,Jeugdprogramma,2
05-02-2021,07:30,"Bab Buelens (Sofie Verlinden), Stijn Steyaert (Kamiel Mertens), Charlotte Timmers (Lara Van Acker), Arthur le Boudec (Lander Depoortere), Rick Mackenbach (Oscar Blommesteyn)",vtm,2012,Skilz,25,26,-,Jeugdprogramma,2
05-02-2021,07:45,-,vtm,2018,De Buurtpolitie - Extra,7,24, Reality-show,Serie,2
05-02-2021,07:50,-,vier,2018,Comfort Food,6,6, Culinair Magazine,Serie,1
05-02-2021,08:00,-,vtm,2018,De Buurtpolitie - Extra,8,24, Reality-show,Serie,2
05-02-2021,08:15,-,vtm,2019,Wakandy,25,28,-,Show,2
05-02-2021,08:30,-,vtm,2018,Pokémon: Zon & Maan Ultra-Avonturen,25,48, Tekenfilm,Jeugdprogramma,21
05-02-2021,08:50,-,vtm,2016,Draken: Race Naar de Rand,12,26, Tekenfilm,Jeugdprogramma,2
05-02-2021,08:10,-,vier,2011,Meesterlijke Klassiekers,6,20, Culinair Magazine,Serie,1
05-02-2021,08:35,-,vier,2010,Njamma Mia!,21,40, Culinair Magazine,Serie,1
05-02-2021,08:50,-,vier,2020,The Block Australia,28,50,-,Spelprogramma's,16
05-02-2021,09:00,-,een,-,Winterbeelden,-,-,-,Serie,-
05-02-2021,09:00,-,canvas,-,Winterbeelden,-,-,-,Serie,-
05-02-2021,09:15,-,vtm,-,-,-,-,-,-,-
05-02-2021,09:25,-,vtm,2020,Lego Ninjago,18,32, Tekenfilm,Jeugdprogramma,2
05-02-2021,09:35,-,vtm,2019,Loïc: Zot van Koken,59,65, Culinair Magazine,Serie,1
05-02-2021,09:50,-,vtm,2020,Geen uitzending,-,-,-,-,-
05-02-2021,09:55,-,vier,-,Geen uitzending,-,-,-,Serie,-
05-02-2021,10:00,-,een,2020,Radio 2 op één,114,220,-,Serie,2020
05-02-2021,10:00,-,canvas,2021,Ketnet Junior,36,365, Kleuterprogramma,Jeugdprogramma,2021
05-02-2021,11:55,-,vtm,2018,Echte Verhalen: De Buurtpolitie,34,70, Reality-show,Serie,10
05-02-2021,12:00,-,een,-,Winterbeelden,-,-,-,Serie,-
05-02-2021,12:20,-,een,-,Dagelijkse Kost,2721,240, Culinair Magazine,Serie,11
05-02-2021,12:35,-,een,2020,Blokken,5596,205, Spelshow,Serie,2020
05-02-2021,12:25,-,vtm,-,-,-,-,-,-,-
05-02-2021,12:00,-,vier,2015,Komen Eten,20,-, Culinair Magazine,Serie,14
05-02-2021,12:40,-,vier,-,Geen uitzending,-,-,-,Serie,-
05-02-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
05-02-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
05-02-2021,13:30,-,een,2020,Iedereen beroemd,136,246,-,Reportage,2020
05-02-2021,13:55,"Pol Goossen (Frank), Marleen Merckx (Simonne), Leah Thys (Marianne), Monika Van Lierde (Ann), Annick Segal (Rosa)",een,2017,Thuis,4401,-, Soap,Reeks,23
05-02-2021,13:00,-,vtm,-,-,-,-,-,-,-
05-02-2021,13:30,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
05-02-2021,13:35,"Caroline Maes (Mieke), Annie Geeraerts (Anna), Ray Verhaeghe (Albert), Sandrine André (Véronique), Gunter De Batselier (Peter)",vtm,2015,Familie,10,223, Soap,Reeks,25
05-02-2021,14:20,-,een,-,Clips,1,-, Muziekclips,Serie,1
05-02-2021,14:40,-,een,2021,Sporza: Ster van Bessèges,-,-, Wielrennen Op De Weg,Sport,-
05-02-2021,14:20,"Greet Rouffaer (Nellie), Marc Coessens (Frank), Arnold Willems (Georges), Peter Bulckaen (Max), Kürt Rogiers (Sneyers)",vtm,2004,Wittekerke,24,88, Soap,Reeks,12
05-02-2021,15:25,"Kate Walsh (Addison Forbes Montgomery), Audra McDonald (Naomi Bennett), Taye Diggs (Sam Bennett), Tim Daly (Pete Wilder), Amy Brenneman (Violet Turner)",vtm,2010,Private Practice,6,22, Dramaserie,Reeks,4
05-02-2021,15:40,-,vier,2018,Het Weekmenu - reeks 2,2,8, Culinair Magazine,Serie,1
05-02-2021,16:45,"Ariel Kaplan (Imogen), Tim Phillipps (Daniel), Stefan Dennis (Paul), Mavournee Hazel (Piper), Tom Oliver (Lou Carpenter)",een,2020,Buren,8164,-, Soap,Reeks,2020
05-02-2021,16:20,-,vtm,2016,America's Funniest Home Videos,17,44, Komische Show,Serie,28
05-02-2021,16:40,"Antje Hagen (Hildegard), Sepp Schauer (Alfons), Joachim Lätsch (André), Dieter Bach (Christoph), Uta Kargel (Eva)",vtm,2020,Sturm der Liebe,134,250, Soap,Reeks,16
05-02-2021,16:35,-,vier,2017,Pasta & Risotto,1,12, Culinair Magazine,Serie,1
05-02-2021,16:55,-,vier,2021,Dag dokter,4,-, Docusoap,Documentaire,1
