Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
10-07-2021,01:10,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
10-07-2021,00:05,-,canvas,2021,Canvaslus,-,-,-,Serie,-
10-07-2021,05:55,"Walter Baele (Shelby/Max), Free Souffriau (Maya), Thomas Van Goethem (Willy), Jan Van Looveren (Kurt/Paul), Eline De Munck (Ben)",vtm,2012,Maya de Bij,2,78, Peuterprogramma,Jeugdprogramma,1
10-07-2021,06:05,-,vtm,2015,Dawn of the Croods,1,26, Animatie,Jeugdprogramma,1
10-07-2021,06:30,-,vtm,2018,LOL,1,20, Komische Show,Serie,1
10-07-2021,06:35,-,vtm,2018,LOL,2,20, Komische Show,Serie,1
10-07-2021,06:45,-,vtm,2016,De Avonturen van de Gelaarsde Kat,21,26, Animatie,Jeugdprogramma,2
10-07-2021,07:10,-,vtm,2016,De Avonturen van de Gelaarsde Kat,22,26, Animatie,Jeugdprogramma,2
10-07-2021,07:35,-,vtm,2018,De Buurtpolitie - Extra,21,24, Reality,Show,2
10-07-2021,07:45,-,vtm,2018,De Buurtpolitie - Extra,22,24, Reality,Show,2
10-07-2021,08:00,-,een,2021,Radio 2 op één,2,32,-,Radioprogramma,2021
10-07-2021,08:05,"Kürt Rogiers (Sol), Britt Scholte (Daphne), Nathan Naenen (Boris), Warre Verlinden (Eli)",vtm,2015,Kattenoog,1,10, Jeugd,Jeugdprogramma,1
10-07-2021,08:50,-,vtm,2019,Lenderd,1,16,-,Magazine,1
10-07-2021,08:55,"Frank Focketyn (makelaar Kronkel), Thomas Van Goethem (Jonas), Priske Dehandschutter (Aagje), Wanda Joosten (Philomena Van Zurenborg), Yann Van den Branden (Ridder Woeste)",vtm,2005,Booh,1,13, Jeugdserie,Reeks,1
10-07-2021,09:00,-,canvas,-,Zomerbeelden,-,-,-,Serie,-
10-07-2021,09:10,"Frank Focketyn (makelaar Kronkel), Thomas Van Goethem (Jonas), Priske Dehandschutter (Aagje), Wanda Joosten (Philomena Van Zurenborg), Yann Van den Branden (Ridder Woeste)",vtm,2005,Booh,2,13, Jeugdserie,Reeks,1
10-07-2021,09:30,"Ivo Pauwels (Nonkel Jef), Linda De Ridder (Odette Nollet), Luc Verhoeven (Izzi), Paul-Emile Van Royen (Louis), Nicole Laurent (Magda)",vtm,2001,Nonkel Jef,22,34, Komische Serie,Reeks,7
10-07-2021,09:55,-,vtm,2020,Geen uitzending,-,-,-,-,-
10-07-2021,10:00,-,een,-,Zomerbeelden,-,-,-,Serie,-
10-07-2021,10:00,-,canvas,2021,Ketnet Junior,191,365, Kleuterprogramma,Jeugdprogramma,2021
10-07-2021,11:30,-,een,2021,Villa Sporza,29,31, Sportpraatprogramma,Serie,2021
10-07-2021,12:30,-,een,2021,De week van Bruzz,28,52, Actualiteitenmagazine,Serie,2021
10-07-2021,12:00,"Annet Malherbe (Willemijn Lodewijkx), Linda de Mol (Cheryl Morero), Susan Visser (Anouk Verschuur), Tjitske Reindinga (Claire van Kampen), Peter Paul Muller (Martin Morero)",vtm,2005,Gooische Vrouwen,2,8, Dramaserie,Reeks,1
10-07-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
10-07-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
10-07-2021,13:30,-,een,2021,Sporza: Baloise Ladies Tour,-,-, Wielrennen,Sport,-
10-07-2021,13:40,-,een,2021,Sporza: Ronde van Frankrijk,-,-, Wielrennen,Sport,-
10-07-2021,13:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
10-07-2021,13:30,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
10-07-2021,13:35,"Jason Beghe (Hank Voight), Amy Morton (Trudy Platt), Jon Seda (Antonio Dawson), Jesse Lee Soffer (Jay Halstead), Tracy Spiridakos (Hailey Upton)",vtm,2019,Chicago PD,15,22, Misdaadserie,Reeks,6
10-07-2021,14:35,"John Travolta (James Ubriacco), Kirstie Alley (Mollie Ubriacco), Olympia Dukakis (Rosie), Elias Koteas (Stuart), Twink Caplan (Rona)",vtm,1990,Look Who's Talking Too,-,-, Komische Show,Serie,-
10-07-2021,16:25,-,vtm,2014,America's Funniest Home Videos,21,46, Realityreeks,Reportage,26
10-07-2021,16:35,-,vtm,2019,Goed Verlof,6,20, Reisdocumentaire,Serie,1
10-07-2021,17:30,-,een,2021,South Africa with Gregg Wallace,1,6, Verkeersinfo,Informatief,1
10-07-2021,17:55,-,een,2021,Kijk uit,28,52,-,Serie,2021
10-07-2021,17:45,-,vtm,2021,VTM NIEUWS,-,-, Reality,Show,-
10-07-2021,17:50,-,vtm,2015,Rijker Dan Je Denkt?,6,10,-,Serie,4
10-07-2021,18:00,-,een,2021,Het journaal,-,-, Natuurdocumentaire,Serie,-
10-07-2021,18:10,-,een,2020,Africa's wild roommates,-,-,-,Serie,2020
10-07-2021,19:00,-,een,2021,Het journaal,-,-, Weerbericht,Nieuws,-
10-07-2021,19:35,-,een,2021,Het weer,-,-,-,Reportage,-
10-07-2021,19:40,-,een,2021,Op kot XL,4,5, Natuurdocumentaire,Serie,2
10-07-2021,19:05,-,canvas,2018,Wild Chile,1,3,-,Serie,1
10-07-2021,19:00,-,vtm,2021,VTM NIEUWS,-,-, Weerbericht,Nieuws,-
10-07-2021,19:40,-,vtm,2021,Het Weer,-,-, Komische Show,Serie,-
10-07-2021,19:50,-,vtm,2017,Allemaal Chris,5,6,-,Informatief,1
10-07-2021,20:00,-,een,2021,Joker+ en Lotto,56,107, Muziekshow,Serie,2021
10-07-2021,20:05,-,een,2021,Vlaanderen feest,-,-,-,Serie,2021
10-07-2021,20:00,-,canvas,2021,Het Journaal Update,-,-,-,Reportage,-
10-07-2021,20:10,-,canvas,2021,Vranckx,25,52, Misdaadserie,Reeks,2021
