Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
13-06-2021,01:40,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
13-06-2021,00:05,-,canvas,2021,Canvaslus,-,-,-,Serie,-
13-06-2021,05:45,"Walter Baele (Shelby/Max), Free Souffriau (Maya), Thomas Van Goethem (Willy), Jan Van Looveren (Kurt/Paul), Eline De Munck (Ben)",vtm,2012,Maya de Bij,32,78, Peuterprogramma,Jeugdprogramma,1
13-06-2021,06:00,-,vtm,2012,Taarten van Staf,6,10,-,Jeugdprogramma,1
13-06-2021,06:25,-,vtm,2019,Lenderd,15,16,-,Magazine,1
13-06-2021,06:30,"Kristel Verbeke, Karen Damen, Josje Huisman, Winston Post (Bas), Jacques Vermeire (Marcel)",vtm,2011,Hallo K3,9,12, Sitcom,Reeks,2
13-06-2021,07:00,"Kristel Verbeke, Karen Damen, Josje Huisman, Winston Post (Bas), Jacques Vermeire (Marcel)",vtm,2011,Hallo K3,10,12, Sitcom,Reeks,2
13-06-2021,07:25,-,vtm,2017,De Buurtpolitie - Extra,62,75, Reality,Show,1
13-06-2021,07:40,-,vtm,2017,De Buurtpolitie - Extra,63,75, Reality,Show,1
13-06-2021,07:55,-,vtm,2015,Dawn of the Croods,12,26, Animatie,Jeugdprogramma,1
13-06-2021,08:20,-,vtm,2015,Dawn of the Croods,13,26, Animatie,Jeugdprogramma,1
13-06-2021,08:45,-,vtm,2021,VLOGLAB Drama # Stories,13,15,-,Magazine,6
13-06-2021,09:00,-,een,-,Lentebeelden,-,-,-,Serie,-
13-06-2021,09:00,-,canvas,-,Lentebeelden,-,-,-,Serie,-
13-06-2021,09:55,-,canvas,2021,Sporza: hockey,-,-, Teamsport,Serie,-
13-06-2021,09:10,"Ivo Pauwels (Nonkel Jef), Linda De Ridder (Odette Nollet), Luc Verhoeven (Izzi), Paul-Emile Van Royen (Louis), Nicole Laurent (Magda)",vtm,2001,Nonkel Jef,15,34, Komische Serie,Reeks,7
13-06-2021,09:35,-,vtm,2020,Geen uitzending,-,-,-,-,-
13-06-2021,10:00,-,een,2021,Erediensten,-,-,-,Serie,-
13-06-2021,11:00,-,een,2021,De Zevende Dag,19,36, Praatprogramma Over De Actualiteit,Serie,2021
13-06-2021,11:41,-,canvas,-,-,-,-,-,-,-
13-06-2021,11:40,"Jesse Spencer (Matthew Casey), Taylor Kinney (Kelly Severide), Kara Killmer (Sylvie Brett), Eamonn Walker (Wallace Boden), David Eigenberg (Christopher Hermann)",vtm,2018,Chicago Fire,11,22, Actieserie,Reeks,7
13-06-2021,12:25,-,vtm,2021,Drive,10,10, Automagazine,Serie,1
13-06-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
13-06-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
13-06-2021,13:30,-,een,2021,Sporza: Baloise Belgium Tour,-,-, Wielrennen,Sport,-
13-06-2021,13:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
13-06-2021,13:40,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
13-06-2021,13:45,"Rachel Bilson (Sam Swift), Eddie Cibrian (Eddie Valetik), Alice Lee (Monica), Xavier de Guzman (Roberto 'Berto' Vasquez), Aliyah O'Brien (Christine Rollins)",vtm,2018,Take Two,10,13, Dramaserie,Reeks,1
13-06-2021,14:50,-,een,2021,Sporza: UEFA Euro 2020,-,-, Voetbal,Sport,-
13-06-2021,14:55,-,vtm,2019,Beat VTM,8,10,-,Show,1
13-06-2021,16:05,-,vtm,2013,Wild van Dieren,12,13, Natuurmagazine,Serie,1
13-06-2021,16:45,-,vtm,2021,BBQ Street,7,10, Culinair Magazine,Serie,1
13-06-2021,17:20,-,een,2021,Sporza: Hockey,-,-, Teamsport,Serie,-
13-06-2021,17:40,-,een,2021,Sporza: Baloise Belgium Tour,-,-, Wielrennen,Sport,-
13-06-2021,17:20,-,canvas,2021,Radio1 op Canvas,2,16, Radio,Muziek,2021
13-06-2021,17:40,-,canvas,2021,Sporza: UEFA Euro 2020,-,-, Voetbal,Sport,-
13-06-2021,17:30,-,vtm,2020,Lego Masters USA,5,10, Spelshow,Serie,1
13-06-2021,18:00,-,een,2021,Het journaal,-,-,-,Serie,-
13-06-2021,18:10,-,een,-,Dagelijkse Kost,2831,240, Culinair Magazine,Serie,11
13-06-2021,18:20,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
13-06-2021,18:25,-,vtm,2016,Border Security USA,11,28, Realityreeks,Reportage,1
13-06-2021,19:00,-,een,2021,Het journaal - Sportweekend,-,-,-,Serie,-
13-06-2021,19:45,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
13-06-2021,19:50,-,een,2017,Life at the Zoo: Le Pal,-,-, Natuurdocumentaire,Serie,2017
13-06-2021,19:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
13-06-2021,19:45,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
13-06-2021,19:55,-,vtm,2021,Tien Om Te Zien: De Zomer van 199X,1,10, Muziekshow,Serie,1
13-06-2021,20:30,-,een,2021,Sporza: UEFA Euro 2020,-,-, Voetbal,Sport,-
13-06-2021,20:00,-,canvas,2021,Het Journaal Update,-,-,-,Serie,-
13-06-2021,20:10,Martin Johnson,canvas,2019,The planets,1,5, Wetenschap,Documentaire,1
13-06-2021,21:10,-,canvas,2020,Lucy Worsley's royal Myths and Secrets,2,6, Geschiedkundige Documentaire,Serie,1
13-06-2021,21:00,"Barbara Sarafian (Matty), Johan Heldenbergh (Werner), Jurgen Delnaet (Johnny), Anemone Valcke (Vera), Julian Borsani (Peter)",vtm,2008,Aanrijding in Moscou,-,-,-,Documentaire,-
13-06-2021,22:10,-,canvas,2019,Love child,-,-,-,Serie,-
13-06-2021,23:05,-,een,2021,Het journaal,-,-, Sportpraatprogramma,Serie,-
13-06-2021,23:20,-,een,2021,Villa Sporza,3,31, Sitcom,Reeks,2021
13-06-2021,23:30,"Greig Tamsin (Caroline Todd), Julian Rhind-Tutt (Dr. McCartney), Stephen Mangan (Guillaume Secretan), Pippa Haywood (Joanna Clore), Mark Heap (Alan Statham)",canvas,2006,Green Wing,7,9,-,Magazine,2
13-06-2021,23:10,-,vtm,2021,Telefacts,18,39,-,Informatief,2021
13-06-2021,00:09,-,een,2021,Keno,164,365, Weerbericht,Nieuws,2021
13-06-2021,00:10,-,een,2021,Het weer,-,-, Praatprogramma Over De Actualiteit,Serie,-
13-06-2021,00:15,-,een,2021,De Zevende Dag,19,36,-,Serie,2021
13-06-2021,00:20,-,canvas,2021,Canvaslus,-,-, Dramaserie,Reeks,-
13-06-2021,00:05,"Gabriel Macht (Harvey Specter), Rick Hoffman (Louis Litt), Sarah Rafferty (Donna Paulsen), Patrick J. Adams (Mike Ross), Amanda Schull (Katrina Bennett)",vtm,2019,Suits,9,10,-,-,9
13-06-2021,01:10,-,vtm,2020,Geen uitzending,-,-,-,-,-
13-06-2021,01:40,-,vtm,-,Qmusic,-,-, Nieuws In Lusvorm,Serie,-
13-06-2021,02:15,-,een,2021,Journaallus,-,-, Animatie,Jeugdprogramma,-
13-06-2021,05:30,-,vtm,2017,Brandweerman Sam,2,13,-,Jeugdprogramma,11
13-06-2021,05:40,-,vtm,2014,De Proefknuffels,11,30, Jeugd,Jeugdprogramma,1
13-06-2021,05:50,-,vtm,2009,TiTaToverfeest,209,250,-,-,1
13-06-2021,03:15,-,vtm2,2020,Geen uitzending,-,-,-,-,-
13-06-2021,02:05,-,vtm3,2020,Geen uitzending,-,-,-,-,-
13-06-2021,01:55,-,vtm4,2020,Geen uitzending,-,-,-,-,-
13-06-2021,07:15,-,vtm2,-,-,-,-,-,-,-
13-06-2021,08:00,-,vtm2,2020,Geen uitzending,-,-,-,-,-
13-06-2021,10:00,-,vtm2,-,-,-,-, Animatie,Reeks,-
13-06-2021,10:55,-,vtm3,1993,The Simpsons,15,22, Actieserie,Reeks,5
13-06-2021,10:25,"Tia Carrera (Sydney Fox), Lindey Booth (Claudia), Christien Anholt (Nigel Bailey)",vtm4,2001,Relic Hunter,1,22, Animatie,Reeks,3
13-06-2021,11:20,-,vtm3,1993,The Simpsons,16,22,-,-,5
13-06-2021,11:50,-,vtm3,2020,Geen uitzending,-,-, Actieserie,Reeks,-
13-06-2021,11:25,"Tia Carrera (Sydney Fox), Lindey Booth (Claudia), Christien Anholt (Nigel Bailey)",vtm4,2001,Relic Hunter,2,22, Realityreeks,Reportage,3
13-06-2021,12:40,Harjeet Chhokar,vtm2,2018,Different Like Me,2,3,-,-,1
13-06-2021,12:20,-,vtm4,-,-,-,-,-,-,-
13-06-2021,13:35,-,vtm2,-,-,-,-, Actieserie,Reeks,-
13-06-2021,13:20,"Dwight Schultz (Murdock), Mr T (BA Baracus), George Peppard (Hannibal Smith), Melinda Culea (Amy Allen), Bill Lucking (Colonel Lynch)",vtm4,1985,The A-Team,3,25,-,-,3
13-06-2021,14:45,-,vtm2,-,-,-,-, Romantisch Drama,Film,-
13-06-2021,14:20,"Keira Knightley (Elizabeth 'Lizzie' Bennet), Rosamund Pike (Jane Bennet), Donald Sutherland (Mr. Bennet), Jena Malone (Lydia Bennet), Simon Woods (Mr. Bingley)",vtm3,2005,Pride & Prejudice,-,-,-,-,-
13-06-2021,14:20,-,vtm4,-,-,-,-,-,-,-
13-06-2021,15:40,-,vtm2,-,-,-,-,-,-,-
13-06-2021,15:20,-,vtm4,-,-,-,-,-,-,-
13-06-2021,16:35,-,vtm2,-,-,-,-,-,-,-
13-06-2021,16:40,-,vtm3,-,-,-,-, Komische Show,Serie,-
13-06-2021,16:25,-,vtm4,2014,Superstaar,4,9, Realityreeks,Reportage,2
13-06-2021,17:35,-,vtm2,2021,The Big Body Hotel,1,8, Misdaadserie,Reeks,1
13-06-2021,17:35,"Russell Hornsby (Lincoln Rhyme), Arielle Kebbel (Amelia Sachs), Roslyn Ruff (Claire), Ramses Jimenez (Eric Castillo), Brooke Lyons (Kate)",vtm3,2020,Lincoln Rhyme: Hunt for the Bone Collector,4,10,-,Magazine,1
13-06-2021,17:00,-,vtm4,2017,All New Traffic Cops,4,14,-,Magazine,6
13-06-2021,17:55,-,vtm4,2017,All New Traffic Cops,5,14, Dramaserie,Reeks,6
13-06-2021,18:35,"Matt Czuchry (Conrad Hawkins), Emily VanCamp (Nicolette 'Nic' Nevin), Manish Dayal (Devon Pravesh), Shaunette Renée Wilson (Mina Okafor), Bruce Greenwood (Randolph Bell)",vtm2,2020,The Resident,3,14, Romantisch Drama,Film,4
13-06-2021,18:35,"Reese Witherspoon (Alice), Lake Bell (Zoey), Pico Alexander (Harry), Michael Sheen (Austen), Candice Bergen (Lillian)",vtm3,2017,Home Again,-,-,-,Magazine,-
13-06-2021,18:55,-,vtm4,2017,All New Traffic Cops,6,14, Dramaserie,Reeks,6
13-06-2021,19:30,"Matt Czuchry (Conrad Hawkins), Emily VanCamp (Nicolette 'Nic' Nevin), Manish Dayal (Devon Pravesh), Shaunette Renée Wilson (Mina Okafor), Bruce Greenwood (Randolph Bell)",vtm2,2020,The Resident,4,14, Komische Show,Serie,4
13-06-2021,19:50,-,vtm4,2014,Superstaar,5,9, Realityreeks,Reportage,2
13-06-2021,20:30,-,vtm2,2017,Ontvoerd,5,6, Actiefilm,Film,4
13-06-2021,20:30,"Patrick Dempsey (Tom Bailey), Michelle Monaghan (Hannah), Kevin McKidd (Colin McMurray), Sydney Pollack (Thomas Bailey Sr.), Busy Philipps (Melissa)",vtm3,2008,Made of Honor,-,-, Realityreeks,Reportage,-
13-06-2021,20:30,"Roger Moore (James Bond), Christopher Walken (Max Zorin), Tanya Roberts (Stacey Sutton), Grace Jones (May Day), Patrick Macnee (Tibbett, Sir Godfrey)",vtm4,1985,A View To a Kill,-,-, Realityreeks,Reportage,-
13-06-2021,21:30,-,vtm2,2016,Gold Coast Medical,1,10, Dramaserie,Reeks,1
13-06-2021,22:30,-,vtm2,2019,Dr Christian Will See You Now,3,6, Medisch Magazine,Serie,3
13-06-2021,22:30,"Katheryn Winnick (Lagertha), Gustaf Skarsgård (Floki), Alexander Ludwig (Bjorn Lothbrok), Alex Høgh Andersen (Ivar), Georgia Hirst (Torvi)",vtm3,2019,Vikings,4,20, Dramaserie,Reeks,6
13-06-2021,23:30,-,vtm2,2012,Het Spreekuur,3,13, Realityreeks,Reportage,1
13-06-2021,23:30,"Mark-Paul Gosselaar (Brad Wolgast), Saniyya Sidney (Amy Bellafonte), Jamie McShane (Tim Fanning), Caroline Chikezie (Nichole Sykes), Emmanuelle Chriqui (Lila Kyle)",vtm3,2019,The Passage,3,10, Thrillerserie,Reeks,1
13-06-2021,23:00,"Seann William Scott (Trooper Callaghan), Damon Wayans Jr. (Trooper Wagner), Steve Lemme (Mac), Erik Stolhanske (Rabbit), Jay Chandrasekhar (Thorny)",vtm4,2018,Super Troopers 2,-,-,-,Documentaire,-
13-06-2021,00:40,Stuart Bernard,vtm2,2019,Surgeons: At the Edge of Life,2,6,-,-,2
13-06-2021,00:25,"Mireille Enos (Alice Vaughan), Peter Krause (Benjamin Jones), Alimi Ballard (Reginald Lennox III), Jay Hayden (Danny Yoon)",vtm3,2016,The Catch,1,10,-,-,2
13-06-2021,00:50,-,vtm4,2018,Driven: The Billy Monger Story,-,-,-,-,-
13-06-2021,01:45,-,vtm2,2020,Geen uitzending,-,-,-,-,-
13-06-2021,01:20,-,vtm3,2020,Geen uitzending,-,-, Homeshoppingprogramma,Informatief,-
13-06-2021,02:00,-,vtm4,2020,Geen uitzending,-,-, Animatie,Jeugdprogramma,-
13-06-2021,03:20,-,vtm2,2020,Geen uitzending,-,-, Animatie,Jeugdprogramma,-
13-06-2021,05:30,-,club-rtl,-,Télé-achat,-,-, Peuterprogramma,Jeugdprogramma,1
13-06-2021,07:00,-,club-rtl,-,Wissper,-,-,-,Reeks,1
13-06-2021,07:10,-,club-rtl,-,Wickie De Viking,64,78, Kleuterprogramma,Jeugdprogramma,1
13-06-2021,07:25,"Walter Baele (Shelby/Max), Free Souffriau (Maya), Thomas Van Goethem (Willy), Jan Van Looveren (Kurt/Paul), Eline De Munck (Ben)",club-rtl,2012,Maya!,30,78, Animatie,Jeugdprogramma,1
13-06-2021,07:40,-,club-rtl,-,"Yapaka, une vie de chien",-,-,-,Reeks,16
13-06-2021,07:45,-,club-rtl,-,Petit & costaud,18,26, Animatie,Jeugdprogramma,1
13-06-2021,08:00,-,club-rtl,-,Blinky Bill,-,-, Animatie,Jeugdprogramma,1
13-06-2021,08:15,-,club-rtl,-,"Yapaka, une vie de chien",-,-, Animatie,Jeugdprogramma,133
13-06-2021,08:20,-,club-rtl,2017,Pokémon: Zon & Maan,10,-, Animatie,Jeugdprogramma,22
13-06-2021,08:40,-,club-rtl,2017,Pokémon: Zon & Maan,11,-,-,Reeks,22
13-06-2021,09:00,-,club-rtl,2017,Pokémon: Zon & Maan,12,-,-,Magazine,22
13-06-2021,09:20,-,club-rtl,2017,Pokémon: Zon & Maan,13,-, Homeshoppingprogramma,Informatief,22
13-06-2021,09:40,-,club-rtl,-,"Yapaka, une vie de chien",-,-,-,Magazine,7
13-06-2021,09:45,-,club-rtl,2021,Waldorado,-,-, Misdaadserie,Reeks,2021
13-06-2021,10:15,-,club-rtl,-,La boutique,-,-, Misdaadserie,Reeks,1
13-06-2021,10:45,-,club-rtl,-,Shopping Hours,-,-, Misdaadserie,Reeks,1
13-06-2021,11:15,"William L Petersen (Gil Grissom), Marg Helgenberger (Catherin Willows), Gary Dourdan (Warrick Brown), George Eads (Nick Stokes), Jorja Fox (Sara Sidel)",club-rtl,2004,C.S.I.: Crime Scene Investigation,4,23, Misdaadserie,Reeks,4
13-06-2021,12:00,"William L Petersen (Gil Grissom), Marg Helgenberger (Catherin Willows), Gary Dourdan (Warrick Brown), George Eads (Nick Stokes), Jorja Fox (Sara Sidel)",club-rtl,2004,C.S.I.: Crime Scene Investigation,5,23, Misdaadserie,Reeks,4
13-06-2021,12:50,"William L Petersen (Gil Grissom), Marg Helgenberger (Catherin Willows), Gary Dourdan (Warrick Brown), George Eads (Nick Stokes), Jorja Fox (Sara Sidel)",club-rtl,2004,C.S.I.: Crime Scene Investigation,6,23, Misdaadserie,Reeks,4
13-06-2021,13:35,"William L Petersen (Gil Grissom), Marg Helgenberger (Catherin Willows), Gary Dourdan (Warrick Brown), George Eads (Nick Stokes), Jorja Fox (Sara Sidel)",club-rtl,2004,C.S.I.: Crime Scene Investigation,7,23, Misdaadserie,Reeks,4
13-06-2021,14:25,"William L Petersen (Gil Grissom), Marg Helgenberger (Catherin Willows), Gary Dourdan (Warrick Brown), George Eads (Nick Stokes), Jorja Fox (Sara Sidel)",club-rtl,2004,C.S.I.: Crime Scene Investigation,8,23, Misdaadserie,Reeks,4
13-06-2021,15:10,"William L Petersen (Gil Grissom), Marg Helgenberger (Catherin Willows), Gary Dourdan (Warrick Brown), George Eads (Nick Stokes), Jorja Fox (Sara Sidel)",club-rtl,2004,C.S.I.: Crime Scene Investigation,9,23, Misdaadserie,Reeks,4
13-06-2021,16:00,"Adam Rodriguez (Eric Delko), Emily Procter (Calleigh Duquesne), Heather Stephens (Danielle Madison), Eva La Rue (Natalia Boa Vista), Lauralee Bell (Alissa Valone)",club-rtl,2006,CSI Special,6,24, Misdaadserie,Reeks,5
