Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
09-07-2021,00:05,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
09-07-2021,01:00,-,canvas,2021,Canvaslus,-,-,-,Serie,-
09-07-2021,05:55,"Walter Baele (Shelby/Max), Free Souffriau (Maya), Thomas Van Goethem (Willy), Jan Van Looveren (Kurt/Paul), Eline De Munck (Ben)",vtm,2012,Maya de Bij,9,78, Peuterprogramma,Jeugdprogramma,1
09-07-2021,06:05,"Walter Baele (Shelby/Max), Free Souffriau (Maya), Thomas Van Goethem (Willy), Jan Van Looveren (Kurt/Paul), Eline De Munck (Ben)",vtm,2012,Maya de Bij,10,78, Peuterprogramma,Jeugdprogramma,1
09-07-2021,06:15,-,vtm,2009,TiTaToverfeest,247,250, Jeugd,Jeugdprogramma,1
09-07-2021,06:30,-,vtm,2009,TiTaToverfeest,248,250, Jeugd,Jeugdprogramma,1
09-07-2021,06:45,-,vtm,2016,The Mr. Peabody & Sherman Show,5,26, Animatie,Jeugdprogramma,2
09-07-2021,07:05,-,vtm,2017,De Buurtpolitie - Extra,5,75, Reality,Show,1
09-07-2021,07:20,-,vtm,2017,De Buurtpolitie - Extra,6,75, Reality,Show,1
09-07-2021,07:35,"Jacques Vermeire, Josje Huisman, Kristel Verbeke, Karen Damen",vtm,2010,Hallo K3,5,13, Sitcom,Reeks,1
09-07-2021,07:55,-,vtm,2018,LOL,5,20, Komische Show,Serie,1
09-07-2021,08:00,-,een,2021,Radio 2 op één,7,32,-,Radioprogramma,2021
09-07-2021,08:05,-,vtm,2017,Tarzan en Jane,5,8, Animatie,Jeugdprogramma,1
09-07-2021,08:25,-,vtm,2016,Draken: Race Naar de Rand,5,26, Animatie,Jeugdprogramma,2
09-07-2021,08:50,-,vtm,2016,Het Middelbaar,68,81, Jeugd,Jeugdprogramma,4
09-07-2021,09:00,-,canvas,-,Zomerbeelden,-,-,-,Serie,-
09-07-2021,09:00,-,vtm,2016,Het Middelbaar,69,81, Jeugd,Jeugdprogramma,4
09-07-2021,09:10,-,vtm,2017,Power Rangers Ninja Steel,7,22, Actieserie,Reeks,24
09-07-2021,09:35,-,vtm,2019,Loïc: Zot van Koken,10,65, Culinair Magazine,Serie,1
09-07-2021,09:50,-,vtm,2020,Geen uitzending,-,-,-,-,-
09-07-2021,10:00,-,een,2021,Radio 2 op één,7,32,-,Radioprogramma,2021
09-07-2021,10:00,-,canvas,2021,Ketnet Junior,190,365, Kleuterprogramma,Jeugdprogramma,2021
09-07-2021,11:55,-,vtm,2018,Border Security USA,3,20, Realityreeks,Reportage,2
09-07-2021,12:00,-,een,-,Zomerbeelden,-,-,-,Serie,-
09-07-2021,12:30,-,een,2021,Switch,4,40, Quiz,Spelprogramma,6
09-07-2021,12:20,-,vtm,2019,Echte Verhalen: De Buurtpolitie,33,65, Reality,Show,12
09-07-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
09-07-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
09-07-2021,13:30,-,een,2021,Sporza: Ronde van Frankrijk,-,-, Wielrennen,Sport,-
09-07-2021,13:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
09-07-2021,13:30,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
09-07-2021,13:40,"Caroline Maes (Mieke), Annie Geeraerts (Anna), Ray Verhaeghe (Albert), Sandrine André (Véronique), Gunter De Batselier (Peter)",vtm,2015,Familie,117,223, Soap,Reeks,25
09-07-2021,14:25,"Stan Van Samang (Kevin), Peter Bulckaen (Max), Sandrine André (Merel), Ron Cornet (Jean-Paul Derdeyn), Hilde Gijsbrechts (Elke)",vtm,2005,Wittekerke,46,82, Soap,Reeks,13
09-07-2021,15:35,"Kate Walsh (Addison Forbes Montgomery), Audra McDonald (Naomi Bennett), Taye Diggs (Sam Bennett), Tim Daly (Pete Wilder), Amy Brenneman (Violet Turner)",vtm,2008,Private Practice,10,22, Dramaserie,Reeks,2
09-07-2021,16:35,-,vtm,2015,America's Funniest Home Videos,5,44, Komische Show,Serie,27
09-07-2021,16:45,"Robert De La Haye (Dirk Velghe), Mireille Leveque (Anneke Wiels), Truus Druyts (Barbara Dufour), Leo Madder (Luc Gijsbrecht), Marilou Mermans (Christiane Van Breda)",vtm,2001,Spoed,23,25, Dramaserie,Reeks,2
09-07-2021,17:50,-,een,2021,Sporza: Baloise Ladies Tour,-,-, Wielrennen,Sport,-
09-07-2021,17:45,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
09-07-2021,17:50,-,vtm,2018,Border Security USA,4,20, Realityreeks,Reportage,2
09-07-2021,18:00,-,een,2021,Het journaal,-,-,-,Serie,-
09-07-2021,18:10,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
09-07-2021,18:15,-,een,2018,My big family farm,1,4, Realityreeks,Reportage,1
09-07-2021,18:55,-,canvas,2019,Okavango: river of dreams,3,4, Natuurdocumentaire,Serie,1
09-07-2021,18:15,-,vtm,2019,Echte Verhalen: De Buurtpolitie,34,65, Reality,Show,12
09-07-2021,19:00,-,een,2021,Het journaal,-,-,-,Serie,-
09-07-2021,19:40,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
09-07-2021,19:45,-,een,2021,De stoel,5,40,-,Spelprogramma,5
09-07-2021,19:50,-,een,2021,Op Kot,3,5,-,Reportage,2
09-07-2021,19:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
09-07-2021,19:45,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
09-07-2021,19:55,"Mark Verstraete (Jef), Odilon Mortier (Odilon), Mieke Dobbels (Saskia), Jan Van Hecke (Arnold), Ayesha Künzle (Jill)",vtm,2007,De Kotmadam,6,13, Komische Serie,Reeks,17
09-07-2021,20:15,"Herman Verbruggen (Marc), Loes Van den Heuvel (Carmen), An Swartenbroekx (Bieke), Ben Rottiers (Pol), Jaak Van Assche (Fernand)",een,2008,F.C. De Kampioenen,5,13, Komische Serie,Reeks,19
09-07-2021,20:55,-,een,2021,Switch,5,40, Quiz,Spelprogramma,6
09-07-2021,20:00,-,canvas,2021,Terzake,-,-, Nieuws En Duiding,Serie,-
09-07-2021,20:35,-,canvas,2021,Stacey Dooley: Back on the Psych Ward,-,-,-,Documentaire,2021
09-07-2021,20:35,-,vtm,2015,K3 Zoekt K3,2,10, Muziekshow,Serie,1
09-07-2021,21:25,-,een,2021,Villa Sporza,29,31, Sportpraatprogramma,Serie,2021
09-07-2021,21:35,"Ulrich Thomsen (Christian), Henning Moritzen (Helge), Thomas Bo Larsen (Michael), Tomas Larsen, Paprika Steen (Helene)",canvas,1998,Festen,-,-, Drama,Film,-
