Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
06-07-2021,00:05,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
06-07-2021,00:05,-,canvas,2021,Canvaslus,-,-,-,Serie,-
06-07-2021,05:55,"Walter Baele (Shelby/Max), Free Souffriau (Maya), Thomas Van Goethem (Willy), Jan Van Looveren (Kurt/Paul), Eline De Munck (Ben)",vtm,2012,Maya de Bij,4,78, Peuterprogramma,Jeugdprogramma,1
06-07-2021,06:10,-,vtm,2009,TiTaToverfeest,241,250, Jeugd,Jeugdprogramma,1
06-07-2021,06:20,-,vtm,2009,TiTaToverfeest,242,250, Jeugd,Jeugdprogramma,1
06-07-2021,06:35,-,vtm,2016,The Mr. Peabody & Sherman Show,2,26, Animatie,Jeugdprogramma,2
06-07-2021,07:00,-,vtm,2018,De Buurtpolitie - Extra,23,24, Reality,Show,2
06-07-2021,07:15,-,vtm,2018,De Buurtpolitie - Extra,24,24, Reality,Show,2
06-07-2021,07:30,"Jacques Vermeire, Josje Huisman, Kristel Verbeke, Karen Damen",vtm,2010,Hallo K3,2,13, Sitcom,Reeks,1
06-07-2021,07:55,-,vtm,2018,LOL,2,20, Komische Show,Serie,1
06-07-2021,08:00,-,een,2021,Radio 2 op één,4,32,-,Radioprogramma,2021
06-07-2021,08:05,-,vtm,2017,Tarzan en Jane,2,8, Animatie,Jeugdprogramma,1
06-07-2021,08:25,-,vtm,2016,Draken: Race Naar de Rand,2,26, Animatie,Jeugdprogramma,2
06-07-2021,08:50,-,vtm,2016,Het Middelbaar,62,81, Jeugd,Jeugdprogramma,4
06-07-2021,09:00,-,canvas,-,Zomerbeelden,-,-,-,Serie,-
06-07-2021,09:00,-,vtm,2016,Het Middelbaar,63,81, Jeugd,Jeugdprogramma,4
06-07-2021,09:10,-,vtm,2017,Power Rangers Ninja Steel,4,22, Actieserie,Reeks,24
06-07-2021,09:35,-,vtm,2019,Loïc: Zot van Koken,7,65, Culinair Magazine,Serie,1
06-07-2021,09:50,-,vtm,2020,Geen uitzending,-,-,-,-,-
06-07-2021,10:00,-,een,2021,Radio 2 op één,4,32,-,Radioprogramma,2021
06-07-2021,10:00,-,canvas,2021,Ketnet Junior,187,365, Kleuterprogramma,Jeugdprogramma,2021
06-07-2021,11:50,-,vtm,2016,Border Security USA,16,28, Realityreeks,Reportage,1
06-07-2021,12:00,-,een,-,Zomerbeelden,-,-,-,Serie,-
06-07-2021,12:30,-,een,2021,Switch,1,40, Quiz,Spelprogramma,6
