Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
05-03-2021,01:05,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
05-03-2021,23:55,-,canvas,2021,Canvaslus,-,-,-,Serie,-
05-03-2021,01:30,-,vtm,-,Qmusic,-,-,-,-,-
05-03-2021,06:00,-,vtm,2016,Thomas de Trein,10,26, Animatie,Jeugdprogramma,20
05-03-2021,06:10,-,vtm,2014,Percy de Tijger,10,26, Animatie,Jeugdprogramma,1
05-03-2021,06:20,-,vtm,-,-,-,-,-,-,-
05-03-2021,06:35,-,vtm,2009,TiTaToverfeest,90,250, Jeugd,Jeugdprogramma,1
05-03-2021,06:50,-,vtm,-,-,-,-,-,-,-
05-03-2021,06:55,-,vtm,2018,Pokémon: Zon & Maan Ultra-Avonturen,10,48, Animatie,Jeugdprogramma,21
05-03-2021,07:15,-,vtm,2020,Lego Ninjago,19,32, Animatie,Jeugdprogramma,2
05-03-2021,07:25,-,vtm,-,-,-,-,-,-,-
05-03-2021,07:35,-,vtm,2017,De Buurtpolitie - Extra,23,75, Reality,Show,1
05-03-2021,07:50,-,vtm,2017,De Buurtpolitie - Extra,24,75, Reality,Show,1
05-03-2021,08:05,-,vtm,2019,VLOGLAB Secrets #Stories,10,13, Jeugd,Jeugdprogramma,1
05-03-2021,08:25,-,vtm,-,-,-,-,-,-,-
05-03-2021,08:50,-,vtm,2016,Draken: Race Naar de Rand,10,26, Animatie,Jeugdprogramma,2
05-03-2021,09:00,-,een,-,Winterbeelden,-,-,-,Serie,-
05-03-2021,09:00,-,canvas,-,-,-,-,-,-,-
05-03-2021,09:10,-,vtm,2019,Wakandy,19,28,-,Show,2
05-03-2021,09:25,-,vtm,-,-,-,-,-,-,-
05-03-2021,09:40,-,vtm,2020,Loïc: Zot van Koken,14,95, Culinair Magazine,Serie,2
05-03-2021,09:55,-,vtm,-,-,-,-,-,-,-
05-03-2021,10:00,-,een,2021,Sporza: EK Atletiek Indoor,-,-, Atletiekprogramma,Sport,-
05-03-2021,10:00,-,canvas,2021,Ketnet Junior,64,365, Kleuterprogramma,Jeugdprogramma,2021
