Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
09-03-2021,00:10,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
09-03-2021,01:00,-,canvas,2021,Canvaslus,-,-,-,Serie,-
09-03-2021,05:50,-,vtm,2016,Thomas de Trein,12,26, Animatie,Jeugdprogramma,20
09-03-2021,06:00,-,vtm,2014,Percy de Tijger,12,26, Animatie,Jeugdprogramma,1
09-03-2021,06:10,-,vtm,2009,TiTaToverfeest,93,250, Jeugd,Jeugdprogramma,1
09-03-2021,06:25,-,vtm,2009,TiTaToverfeest,94,250, Jeugd,Jeugdprogramma,1
09-03-2021,06:40,-,vtm,1998,Kabouter plop,47,60, Kleuterprogramma,Jeugdprogramma,1998
09-03-2021,06:45,-,vtm,2018,Pokémon: Zon & Maan Ultra-Avonturen,12,48, Animatie,Jeugdprogramma,21
09-03-2021,07:05,-,vtm,2020,Lego Ninjago,23,32, Animatie,Jeugdprogramma,2
09-03-2021,07:15,-,vtm,2020,Lego Ninjago,24,32, Animatie,Jeugdprogramma,2
09-03-2021,07:30,"Jacques Vermeire, Josje Huisman, Kristel Verbeke, Karen Damen",vtm,2010,Hallo K3,2,13, Sitcom,Reeks,1
09-03-2021,07:55,-,vtm,2019,VLOGLAB Secrets #Stories,12,13, Jeugd,Jeugdprogramma,1
09-03-2021,08:15,-,vtm,2017,De Buurtpolitie - Extra,27,75, Reality,Show,1
09-03-2021,08:30,-,vtm,2017,De Buurtpolitie - Extra,28,75, Reality,Show,1
09-03-2021,08:45,-,vtm,2016,Draken: Race Naar de Rand,12,26, Animatie,Jeugdprogramma,2
09-03-2021,09:00,-,een,-,Winterbeelden,-,-,-,Serie,-
09-03-2021,09:00,-,canvas,-,Winterbeelden,-,-,-,Serie,-
09-03-2021,09:05,-,vtm,2019,Wakandy,23,28,-,Show,2
09-03-2021,09:25,-,vtm,2019,Wakandy,24,28,-,Show,2
09-03-2021,09:35,-,vtm,2020,Loïc: Zot van Koken,16,95, Culinair Magazine,Serie,2
09-03-2021,09:55,-,vtm,2020,Geen uitzending,-,-,-,-,-
09-03-2021,10:00,-,een,2020,Radio 2 op één,136,220,-,Serie,2020
09-03-2021,10:00,-,canvas,2021,Ketnet Junior,68,365, Kleuterprogramma,Jeugdprogramma,2021
09-03-2021,11:55,-,vtm,2018,Echte Verhalen: De Buurtpolitie,56,70, Reality,Show,10
09-03-2021,12:00,-,een,-,Winterbeelden,-,-,-,Serie,-
09-03-2021,12:20,-,een,-,Dagelijkse Kost,2748,240, Culinair Magazine,Serie,11
09-03-2021,12:35,-,een,2020,Blokken,5618,205, Spelshow,Serie,2020
09-03-2021,12:25,"Tinne Oltmans (Lisa), Oscar Willems (Jonas), Anouck Luyten (Katja), Bert Verbeke (Gert), Hilde De Baerdemaeker (Suzanne)",vtm,2021,Lisa,31,205, Romantische Serie,Reeks,1
09-03-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
09-03-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
09-03-2021,13:30,-,een,2020,Iedereen beroemd,163,246,-,Reportage,2020
09-03-2021,13:55,"Pol Goossen (Frank), Marleen Merckx (Simonne), Leah Thys (Marianne), Monika Van Lierde (Ann), Annick Segal (Rosa)",een,2017,Thuis,4418,-, Soap,Reeks,23
09-03-2021,13:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
09-03-2021,13:30,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
09-03-2021,13:40,"Caroline Maes (Mieke), Annie Geeraerts (Anna), Ray Verhaeghe (Albert), Sandrine André (Véronique), Gunter De Batselier (Peter)",vtm,2015,Familie,32,223, Soap,Reeks,25
09-03-2021,14:20,-,een,2018,Dieren in nesten,9,-, Natuurmagazine,Serie,7
09-03-2021,14:45,-,een,2021,Sporza: Parijs - Nice,-,-, Wielrennen,Sport,-
09-03-2021,14:15,"Greet Rouffaer (Nellie), Marc Coessens (Frank), Arnold Willems (Georges), Peter Bulckaen (Max), Kürt Rogiers (Sneyers)",vtm,2004,Wittekerke,46,88, Soap,Reeks,12
09-03-2021,15:20,"Kate Walsh (Dr. Addison Montgomery), Tim Daly (Dr. Pete Wilder), Paul Adelstein (Dr. Cooper Freedman), KaDee Strickland (Dr. Charlotte King), Taye Diggs (Dr. Sam Bennett)",vtm,2012,Private Practice,6,22, Dramaserie,Reeks,5
09-03-2021,16:15,-,een,-,Clips,1,-, Muziekclips,Serie,1
09-03-2021,16:25,-,een,2017,Etonnants jardins,4,10,-,Documentaire,1
09-03-2021,16:50,"Ariel Kaplan (Imogen), Tim Phillipps (Daniel), Stefan Dennis (Paul), Mavournee Hazel (Piper), Tom Oliver (Lou Carpenter)",een,2020,Buren,8184,-, Soap,Reeks,2020
