Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
22-03-2021,01:50,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
22-03-2021,23:40,-,canvas,2021,Canvaslus,-,-,-,Serie,-
22-03-2021,05:55,-,vtm,2009,TiTaToverfeest,112,250, Jeugd,Jeugdprogramma,1
22-03-2021,06:10,-,vtm,1998,Kabouter plop,56,60, Kleuterprogramma,Jeugdprogramma,1998
22-03-2021,06:15,-,vtm,2018,Pokémon: Zon & Maan Ultra-Avonturen,21,48, Animatie,Jeugdprogramma,21
22-03-2021,06:40,-,vtm,2020,Lego Ninjago,9,32, Animatie,Jeugdprogramma,2
22-03-2021,06:50,-,vtm,2020,Lego Ninjago,10,32, Animatie,Jeugdprogramma,2
22-03-2021,07:00,"Jacques Vermeire, Josje Huisman, Kristel Verbeke, Karen Damen",vtm,2010,Hallo K3,11,13, Sitcom,Reeks,1
22-03-2021,07:25,-,vtm,2020,VLOGLAB Mystery #Stories,8,17,-,Magazine,5
22-03-2021,07:45,-,vtm,2017,De Buurtpolitie - Extra,45,75, Reality,Show,1
22-03-2021,08:00,-,vtm,2017,De Buurtpolitie - Extra,46,75, Reality,Show,1
22-03-2021,08:15,-,vtm,2016,Draken: Race Naar de Rand,21,26, Animatie,Jeugdprogramma,2
22-03-2021,08:40,-,vtm,2019,Wakandy,13,28,-,Show,2
22-03-2021,08:55,-,vtm,2019,Wakandy,14,28,-,Show,2
22-03-2021,09:00,-,een,-,Lentebeelden,-,-,-,Serie,-
22-03-2021,09:00,-,canvas,-,Lentebeelden,-,-,-,Serie,-
22-03-2021,09:10,-,vtm,2020,Loïc: Zot van Koken,25,95, Culinair Magazine,Serie,2
22-03-2021,09:25,-,vtm,2020,Geen uitzending,-,-,-,-,-
22-03-2021,10:00,-,een,2020,Radio 2 op één,145,220,-,Serie,2020
22-03-2021,10:00,-,canvas,2021,Ketnet Junior,81,365, Kleuterprogramma,Jeugdprogramma,2021
22-03-2021,11:25,-,vtm,2018,Echte Verhalen: De Buurtpolitie,65,70, Reality,Show,10
22-03-2021,11:55,-,vtm,2021,EXTRA VTM NIEUWS,9,50,-,Serie,2021
22-03-2021,12:00,-,een,2021,Extra Journaal,-,-,-,Serie,-
22-03-2021,12:50,-,een,-,Clips,1,-, Muziekclips,Serie,1
22-03-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
22-03-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
22-03-2021,13:30,-,een,2020,Iedereen beroemd,173,246,-,Reportage,2020
22-03-2021,13:55,"Pol Goossen (Frank), Marleen Merckx (Simonne), Leah Thys (Marianne), Monika Van Lierde (Ann), Annick Segal (Rosa)",een,2017,Thuis,4423,-, Soap,Reeks,23
22-03-2021,13:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
22-03-2021,13:30,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
22-03-2021,13:40,"Caroline Maes (Mieke), Annie Geeraerts (Anna), Ray Verhaeghe (Albert), Sandrine André (Véronique), Gunter De Batselier (Peter)",vtm,2015,Familie,41,223, Soap,Reeks,25
22-03-2021,14:20,-,een,-,Clips,1,-, Muziekclips,Serie,1
22-03-2021,14:30,-,een,2015,First dates,19,-, Datingprogramma,Show,4
22-03-2021,14:20,"Greet Rouffaer (Nellie), Marc Coessens (Frank), Arnold Willems (Georges), Peter Bulckaen (Max), Kürt Rogiers (Sneyers)",vtm,2004,Wittekerke,55,88, Soap,Reeks,12
22-03-2021,15:20,Paul Gibson,een,2015,Father Brown,9,15, Misdaadserie,Reeks,3
22-03-2021,15:25,"Kate Walsh (Dr. Addison Montgomery), Tim Daly (Dr. Pete Wilder), Paul Adelstein (Dr. Cooper Freedman), KaDee Strickland (Dr. Charlotte King), Taye Diggs (Dr. Sam Bennett)",vtm,2012,Private Practice,15,22, Dramaserie,Reeks,5
22-03-2021,16:05,-,een,2020,Ben Fogle: starting up starting over,3,4,-,Documentaire,1
22-03-2021,16:50,"Ariel Kaplan (Imogen), Tim Phillipps (Daniel), Stefan Dennis (Paul), Mavournee Hazel (Piper), Tom Oliver (Lou Carpenter)",een,2020,Buren,8191,-, Soap,Reeks,2020
22-03-2021,16:25,-,vtm,2016,America's Funniest Home Videos,43,44, Komische Show,Serie,28
