Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
25-02-2021,01:20,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
25-02-2021,00:25,-,canvas,2021,Canvaslus,-,-,-,Serie,-
25-02-2021,01:30,-,vtm,-,Qmusic,-,-,-,-,-
25-02-2021,05:00,-,vier,-,Geen uitzending,-,-,-,Serie,-
25-02-2021,06:00,-,vtm,2016,Thomas de Trein,4,26, Tekenfilm,Jeugdprogramma,20
25-02-2021,06:10,-,vtm,2014,Percy de Tijger,4,26, Tekenfilm,Jeugdprogramma,1
25-02-2021,06:20,-,vtm,2009,TiTaToverfeest,77,250, Jeugd,Jeugdprogramma,1
25-02-2021,06:35,-,vtm,2009,TiTaToverfeest,78,250, Jeugd,Jeugdprogramma,1
25-02-2021,06:50,-,vtm,1998,Kabouter plop,39,60, Kleuterprogramma,Jeugdprogramma,1998
25-02-2021,06:55,-,vtm,2018,Pokémon: Zon & Maan Ultra-Avonturen,4,48, Animatie,Jeugdprogramma,21
25-02-2021,07:15,-,vtm,2020,Lego Ninjago,7,32, Animatie,Jeugdprogramma,2
25-02-2021,07:25,-,vtm,2020,Lego Ninjago,8,32, Animatie,Jeugdprogramma,2
25-02-2021,07:35,-,vtm,2017,De Buurtpolitie - Extra,11,75, Reality,Show,1
25-02-2021,07:50,-,vtm,2017,De Buurtpolitie - Extra,12,75, Reality,Show,1
25-02-2021,08:05,-,vtm,2019,VLOGLAB Secrets #Stories,4,13, Jeugd,Jeugdprogramma,1
25-02-2021,08:25,-,vtm,2015,Lang Leve Koning Julien,4,26, Animatie,Jeugdprogramma,2
25-02-2021,08:50,-,vtm,2016,Draken: Race Naar de Rand,4,26, Animatie,Jeugdprogramma,2
25-02-2021,08:15,-,vier,2014,De sterrenkaart,8,8, Culinair Magazine,Serie,1
25-02-2021,08:50,-,vier,2010,Tot op de Graat,24,40, Culinair Magazine,Serie,1
25-02-2021,09:00,-,een,-,Winterbeelden,-,-,-,Serie,-
25-02-2021,09:00,-,canvas,-,Winterbeelden,-,-,-,Serie,-
25-02-2021,09:10,-,vtm,2019,Wakandy,7,28,-,Show,2
25-02-2021,09:25,-,vtm,2019,Wakandy,8,28,-,Show,2
25-02-2021,09:35,-,vtm,2020,Loïc: Zot van Koken,8,95, Culinair Magazine,Serie,2
25-02-2021,09:50,-,vtm,2020,Geen uitzending,-,-,-,-,-
25-02-2021,09:10,-,vier,2016,Soep!,13,20, Culinair Magazine,Serie,1
25-02-2021,09:30,-,vier,2020,The Block Australia,42,50,-,Spelprogramma's,16
25-02-2021,10:00,-,een,2020,Radio 2 op één,128,220,-,Serie,2020
25-02-2021,10:00,-,canvas,2021,Ketnet Junior,56,365, Kleuterprogramma,Jeugdprogramma,2021
25-02-2021,10:15,-,vier,-,Geen uitzending,-,-,-,Serie,-
25-02-2021,11:55,-,vtm,2018,Echte Verhalen: De Buurtpolitie,48,70, Reality-show,Serie,10
25-02-2021,12:00,-,een,-,Winterbeelden,-,-,-,Serie,-
25-02-2021,12:20,-,een,-,Dagelijkse Kost,2738,240, Culinair Magazine,Serie,11
25-02-2021,12:35,-,een,2020,Blokken,5610,205, Spelshow,Serie,2020
25-02-2021,12:25,"Tinne Oltmans (Lisa), Oscar Willems (Jonas), Anouck Luyten (Katja), Bert Verbeke (Gert), Hilde De Baerdemaeker (Suzanne)",vtm,2021,Lisa,23,205, Romantische Serie,Reeks,1
25-02-2021,12:20,-,vier,2015,Komen eten,31,-, Culinair Magazine,Serie,14
25-02-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
25-02-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
25-02-2021,13:30,-,een,2020,Iedereen beroemd,153,246,-,Reportage,2020
25-02-2021,13:55,"Pol Goossen (Frank), Marleen Merckx (Simonne), Leah Thys (Marianne), Monika Van Lierde (Ann), Annick Segal (Rosa)",een,2017,Thuis,4412,-, Soap,Reeks,23
25-02-2021,13:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
25-02-2021,13:30,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
25-02-2021,13:35,"Caroline Maes (Mieke), Annie Geeraerts (Anna), Ray Verhaeghe (Albert), Sandrine André (Véronique), Gunter De Batselier (Peter)",vtm,2015,Familie,24,223, Soap,Reeks,25
25-02-2021,13:00,-,vier,-,Geen uitzending,-,-,-,Serie,-
25-02-2021,14:20,-,een,2018,Dieren in nesten,4,-, Natuurmagazine,Serie,7
25-02-2021,14:45,-,een,2021,Villa Politica Extra,14,72, Praatprogramma Over De Actualiteit,Praatprogramma's,2021
25-02-2021,14:15,"Greet Rouffaer (Nellie), Marc Coessens (Frank), Arnold Willems (Georges), Peter Bulckaen (Max), Kürt Rogiers (Sneyers)",vtm,2004,Wittekerke,38,88, Soap,Reeks,12
