Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
30-01-2021,01:45,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
30-01-2021,00:00,-,canvas,2021,Canvaslus,-,-,-,Serie,-
30-01-2021,05:55,-,vtm,2017,Brandweerman Sam,3,13, Tekenfilm,Jeugdprogramma,11
30-01-2021,01:50,-,vier,-,Geen uitzending,-,-,-,Serie,-
30-01-2021,06:05,-,vtm,2017,Spirit: Samen Vrij,13,26, Tekenfilm,Jeugdprogramma,1
30-01-2021,06:25,-,vtm,2017,Spirit: Samen Vrij,14,26, Tekenfilm,Jeugdprogramma,1
30-01-2021,06:50,-,vtm,2016,De Avonturen van de Gelaarsde Kat,16,26, Tekenfilm,Jeugdprogramma,2
30-01-2021,06:30,-,vier,2013,De Wereld op je Bord,5,21, Culinair Magazine,Serie,1
30-01-2021,06:45,-,vier,2010,Tot op de Graat,20,40, Culinair Magazine,Serie,1
30-01-2021,07:10,-,vtm,2016,De Avonturen van de Gelaarsde Kat,17,26, Tekenfilm,Jeugdprogramma,2
30-01-2021,07:35,-,vtm,2015,Lang Leve Koning Julien,16,26, Tekenfilm,Jeugdprogramma,2
30-01-2021,07:55,-,vtm,2015,Lang Leve Koning Julien,17,26, Tekenfilm,Jeugdprogramma,2
30-01-2021,07:05,-,vier,2016,DIY (Do It Yourself),5,-, Culinair Magazine,Serie,1
30-01-2021,07:30,-,vier,2014,Tweedehands deluxe,6,3, Reality-show,Serie,2
30-01-2021,08:00,-,een,2020,Radio 2 op één,16,220,-,Serie,2020
30-01-2021,08:20,-,vtm,2016,Draken: Race Naar de Rand,3,26, Tekenfilm,Jeugdprogramma,2
30-01-2021,08:40,-,vtm,2016,Draken: Race Naar de Rand,4,26, Tekenfilm,Jeugdprogramma,2
30-01-2021,08:20,-,vier,-,Geen uitzending,-,-,-,Serie,-
30-01-2021,09:00,-,canvas,-,Winterbeelden,-,-,-,Serie,-
30-01-2021,09:00,-,vtm,2017,De Buurtpolitie - Extra,64,75, Reality-show,Serie,1
30-01-2021,09:20,-,vtm,2017,De Buurtpolitie - Extra,65,75, Reality-show,Serie,1
30-01-2021,09:35,"Ivo Pauwels (Nonkel Jef), Linda De Ridder (Odette Nollet), Luc Verhoeven (Izzi), Paul-Emile Van Royen (Louis), Nicole Laurent (Magda)",vtm,2000,Nonkel Jef,3,27, Komische Serie,Reeks,6
30-01-2021,09:55,-,vtm,2020,Geen uitzending,-,-,-,-,-
30-01-2021,10:00,-,een,-,Winterbeelden,-,-,-,Serie,-
30-01-2021,10:00,-,canvas,2021,Ketnet Junior,30,365, Kleuterprogramma,Jeugdprogramma,2021
30-01-2021,10:25,-,vier,2014,Tweedehands deluxe,7,3, Reality-show,Serie,2
30-01-2021,11:15,-,vier,-,Geen uitzending,-,-,-,Serie,-
30-01-2021,12:05,-,een,2021,De week van Bruzz,5,52, Actualiteitenmagazine,Serie,2021
30-01-2021,12:35,-,een,2021,De markt,4,37, Economisch Magazine,Serie,2021
30-01-2021,12:00,"Gabriel Macht (Harvey Specter), Rick Hoffman (Louis Litt), Sarah Rafferty (Donna Paulsen), Pierce Wendell (Robert Zane), Katherine Heigl (Samantha Wheeler)",vtm,2018,Suits,5,16, Dramaserie,Reeks,8
30-01-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
30-01-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
30-01-2021,13:30,-,een,2021,Sporza: Veldrijden,-,-, Veldrijden,Sport,-
30-01-2021,13:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
30-01-2021,13:30,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
30-01-2021,13:35,"Jennifer Lopez (Harlee Santos), Warren Kole (Robert Stahl), Drea de Matteo (Tess Nazario), Ray Liotta (Matt Wozniak), Dayo Okeniyi (Michael Loman)",vtm,2018,Shades of Blue,2,13, Misdaadserie,Reeks,3
30-01-2021,14:30,"Colin Hanks (Greg), Betsy Brandt (Heather), Thomas Sadoski (Matt), Zoe Lister-Jones (Jen), Dan Bakkedahl (Tim)",vtm,2018,Life in Pieces,13,13, Komische Serie,Reeks,4
30-01-2021,14:20,-,vier,2016,Soep!,9,20, Culinair Magazine,Serie,1
30-01-2021,14:35,-,vier,2011,Meesterlijke Klassiekers,5,20, Culinair Magazine,Serie,1
30-01-2021,15:00,"Karel Deruwe (Bob Parr/Mr. Incredible), Ann Reymen (Helen Parr/Elastigirl), Aline Goffin (Violet Parr), Ronny Mosuse (Lucius Best/Frozone), Jack Crets (Dash Parr)",vtm,2018,Incredibles 2,-,-, Familiefilm,Film,-
30-01-2021,15:15,-,vier,2018,Comfort Food,5,6, Culinair Magazine,Serie,1
30-01-2021,15:35,-,vier,2019,Huizenjagers,21,36, Realityreeks,Reportage,5
30-01-2021,16:30,-,vier,2019,Huizenjagers,22,36, Realityreeks,Reportage,5
30-01-2021,17:10,-,een,-,Dieren in nesten,19,24,-,Reportage,1
30-01-2021,17:30,-,een,2021,Villa Politica Extra,4,72, Praatprogramma Over De Actualiteit,Praatprogramma's,2021
30-01-2021,17:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
30-01-2021,17:05,-,vtm,2017,Lego Masters UK,2,4, Spelshow,Serie,1
30-01-2021,17:25,-,vier,2019,Huizenjagers,23,36, Realityreeks,Reportage,5
30-01-2021,18:00,-,een,2021,Kijk uit,5,52, Verkeersinfo,Informatief Programma,2021
30-01-2021,18:04,-,een,2021,Het journaal,-,-,-,Serie,-
30-01-2021,18:10,-,een,2018,Spy in the Snow,-,-, Natuurdocumentaire,Serie,2018
30-01-2021,18:15,-,vtm,2020,Beestig,6,8,-,Serie,3
30-01-2021,18:20,-,vier,2019,Huizenjagers,24,36, Realityreeks,Reportage,5
30-01-2021,19:00,-,een,2021,Het journaal,-,-,-,Serie,-
30-01-2021,19:30,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
30-01-2021,19:35,-,een,2020,Iedereen beroemd,132,246,-,Reportage,2020
30-01-2021,19:05,-,canvas,2019,Wildest Places: Antarctica,2,4, Natuurdocumentaire,Serie,1
30-01-2021,19:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
30-01-2021,19:40,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
30-01-2021,19:50,"Frank Aendenboom (Rik), Carry Goossens (Jef), Simonne Peeters (Ida), Bob Snijers (Stavros), Helena Van Loon (Marleentje)",vtm,2009,Lili en Marleen,12,13, Komische Serie,Reeks,10
30-01-2021,19:15,-,vier,2020,Het Rad,12,-,-,Spelprogramma's,2
30-01-2021,20:05,-,een,2021,Joker+ en Lotto,9,107,-,Informatief Programma,2021
30-01-2021,20:10,Barnaby Peel,een,2020,London Zoo: An Extraordinary Year,1,2, Natuurdocumentaire,Serie,2020
30-01-2021,20:35,"Marijn Devalck (Boma), Jaak Van Assche (Fernand), Luk D'Heu (burgemeester), Danni Heylen (Pascale), Johny Voners (Xavier)",een,2006,F.C. De Kampioenen,5,13, Komische Serie,Reeks,17
30-01-2021,20:00,-,canvas,2021,Het Journaal Update,-,-,-,Serie,-
30-01-2021,20:10,-,canvas,2021,Vranckx,3,52,-,Reportage,2021
30-01-2021,20:35,"Marie Richardson (Hanna), Magnus Krepper (Björn), Adam Pålsson (Christian), Alexej Manvelov (Davor), Maria Sundbom Lörelius (Lena)",canvas,2019,Before we die,3,8, Misdaadserie,Reeks,2
30-01-2021,20:30,-,vtm,2019,Dat Belooft voor Later,5,8,-,Show,1
30-01-2021,20:20,"Will Smith (Deadshot), Jared Leto (The Joker), Margot Robbie (Harley Quinn), Joel Kinnaman (Rick Flag), Jai Courtney (George Harkness/Captain Boomerang)",vier,2016,Suicide Squad,-,-, Actiefilm,Film,-
30-01-2021,21:20,"Angelina Jolie (Christine Collins), Gattlin Griffith (Walter Collins), Michelle Gunn (Sandy), Frank Wood (Ben Harris), Devon Conti (Arthur Hutchins)",een,2008,Changeling,-,-, Drama,Film,-
30-01-2021,21:35,"Marie Richardson (Hanna), Magnus Krepper (Björn), Adam Pålsson (Christian), Alexej Manvelov (Davor), Maria Sundbom Lörelius (Lena)",canvas,2019,Before we die,4,8, Misdaadserie,Reeks,2
30-01-2021,21:35,"Alden Ehrenreich (Han Solo), Woody Harrelson (Beckett), Joonas Suotamo (Chewbacca), Emilia Clarke (Qi'ra), Donald Glover (Lando Calrissian)",vtm,2018,Solo: A Star Wars Story,-,-, Sf-film,Film,-
30-01-2021,22:35,"Ricardo Darín (Julián), Javier Cámara (Tomás), Dolores Fonzi (Paula), Oriol Pla (Nico), Eduard Fernández (Luis)",canvas,2015,Truman,-,-, Tragikomedie,Film,-
30-01-2021,23:35,-,een,2021,Het journaal,-,-,-,Serie,-
30-01-2021,23:51,-,een,2021,Winst joker+ / lotto,9,107,-,Informatief Programma,2021
30-01-2021,23:52,-,een,2021,Keno,30,365,-,Informatief Programma,2021
30-01-2021,23:53,-,een,2021,Euromillions winstverdeling,9,104,-,Informatief Programma,2021
