Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
12-01-2021,23:20,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
12-01-2021,00:15,-,canvas,2021,Canvaslus,-,-,-,Serie,-
12-01-2021,01:35,-,vtm,-,Qmusic,-,-,-,-,-
12-01-2021,00:20,-,vier,-,Geen uitzending,-,-,-,Serie,-
12-01-2021,06:00,-,vtm,2017,Brandweerman Sam,7,13, Tekenfilm,Jeugdprogramma,11
12-01-2021,06:10,-,vtm,2014,De Proefknuffels,7,30,-,Jeugdprogramma,1
12-01-2021,06:20,-,vtm,2009,TiTaToverfeest,13,250, Jeugdreeks,Jeugdprogramma,1
12-01-2021,06:30,-,vtm,2009,TiTaToverfeest,14,250, Jeugdreeks,Jeugdprogramma,1
12-01-2021,06:45,-,vtm,1998,Kabouter plop,7,60, Kleuterprogramma,Jeugdprogramma,1998
12-01-2021,06:55,-,vtm,2016,De Avonturen van de Gelaarsde Kat,7,26, Tekenfilm,Jeugdprogramma,2
12-01-2021,07:15,-,vtm,2015,Lang Leve Koning Julien,7,26, Tekenfilm,Jeugdprogramma,2
12-01-2021,07:40,"Bab Buelens (Sofie Verlinden), Stijn Steyaert (Kamiel Mertens), Charlotte Timmers (Lara Van Acker), Arthur le Boudec (Lander Depoortere), Rick Mackenbach (Oscar Blommesteyn)",vtm,2012,Skilz,7,26,-,Jeugdprogramma,2
12-01-2021,07:50,-,vtm,2017,De Buurtpolitie - Extra,46,75, Reality-show,Serie,1
12-01-2021,08:05,-,vtm,2017,De Buurtpolitie - Extra,47,75, Reality-show,Serie,1
12-01-2021,08:20,-,vtm,2019,Wakandy,7,28,-,Show,2
12-01-2021,08:35,-,vtm,2018,Pokémon: Zon & Maan Ultra-Avonturen,7,48, Tekenfilm,Jeugdprogramma,21
12-01-2021,08:55,-,vtm,2015,Draken: Race Naar de Rand,7,13, Tekenfilm,Jeugdprogramma,1
12-01-2021,08:15,-,vier,2010,Roger van Damme: Desserts,10,30, Culinair Magazine,Serie,1
12-01-2021,08:25,-,vier,2016,De gezonde goesting,1,8, Culinair Magazine,Serie,1
12-01-2021,08:50,-,vier,2015,A la carte,8,-, Culinair Magazine,Serie,1
12-01-2021,09:00,-,een,-,Winterbeelden,-,-,-,Serie,-
12-01-2021,09:00,-,canvas,-,Winterbeelden,-,-,-,Serie,-
12-01-2021,09:20,-,vtm,2020,Lego Ninjago,13,32, Tekenfilm,Jeugdprogramma,2
12-01-2021,09:30,-,vtm,2020,Lego Ninjago,14,32, Tekenfilm,Jeugdprogramma,2
12-01-2021,09:40,-,vtm,2019,Loïc: Zot van Koken,41,65, Culinair Magazine,Serie,1
12-01-2021,09:55,-,vtm,2020,Geen uitzending,-,-,-,-,-
12-01-2021,09:05,-,vier,-,Tweedehands Deluxe,5,-, Reality-show,Serie,1
12-01-2021,09:55,-,vier,-,Geen uitzending,-,-,-,Serie,-
12-01-2021,10:00,-,een,2020,Radio 2 op één,96,220,-,Serie,2020
12-01-2021,10:00,-,canvas,2021,Ketnet Junior,12,365, Kleuterprogramma,Jeugdprogramma,2021
12-01-2021,12:00,-,een,-,Winterbeelden,-,-,-,Serie,-
12-01-2021,12:18,-,een,-,Dagelijkse Kost,2700,240, Culinair Magazine,Serie,11
12-01-2021,12:35,-,een,2020,Blokken,5578,205, Spelshow,Serie,2020
12-01-2021,12:00,-,vtm,2018,Echte Verhalen: De Buurtpolitie,16,70, Reality-show,Serie,10
12-01-2021,12:25,"Veerle Baetens (Sara De Roose), Gert Winckelmans (Simon Van Wijck), Lotte Pinoy (Helena de Lannoy), Kurt Rogiers (Alexander de Lannoy), Sandrine André (Britt Van Hove)",vtm,2007,Sara,186,199, Romantische Serie,Reeks,1
12-01-2021,12:00,-,vier,2015,Komen Eten,5,-, Culinair Magazine,Serie,14
12-01-2021,12:40,-,vier,-,Geen uitzending,-,-,-,Serie,-
12-01-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
12-01-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
12-01-2021,13:30,-,een,2020,Iedereen beroemd,115,246,-,Reportage,2020
12-01-2021,13:55,-,een,2021,Extra time,1,21, Sportmagazine,Serie,2021
12-01-2021,13:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
12-01-2021,13:30,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
12-01-2021,13:35,"Martine Jonckheere (Marie-Rose), Caroline Maes (Mieke), Annie Geeraerts (Anna), Ray Verhaeghe (Albert), Chris Van Tongelen (Bart)",vtm,2014,Familie,212,220, Soap,Reeks,24
12-01-2021,14:15,"Greet Rouffaer (Nellie), Marc Coessens (Frank), Arnold Willems (Georges), Peter Bulckaen (Max), Kürt Rogiers (Sneyers)",vtm,2004,Wittekerke,7,88, Soap,Reeks,12
12-01-2021,15:00,-,een,-,Clips,1,-, Muziekclips,Serie,1
12-01-2021,15:15,"Yannick Bisson (William Murdoch), Thomas Craig (Thomas Brackenreid), Helene Joy (Julia Ogden), Jonny Harris (George Crabtree)",een,2016,Murdoch Mysteries,7,18, Misdaadserie,Reeks,10
12-01-2021,15:25,"Kate Walsh (Dr. Addison Forbes Montgomery), Audra McDonald (Dr. Naomi Bennett), Taye Diggs (Dr. Sam Bennett), Tim Daly (Dr. Pete Wilder), Amy Brenneman (Dr. Violet Turner)",vtm,2009,Private Practice,11,23, Dramaserie,Reeks,3
12-01-2021,15:45,-,vier,2016,DIY (Do It Yourself),3,-, Culinair Magazine,Serie,1
12-01-2021,16:00,Xavier Lefebvre,een,2020,Onderweg in Noord-Europa,5,5,-,Documentaire,2020
12-01-2021,16:50,"Ariel Kaplan (Imogen), Tim Phillipps (Daniel), Stefan Dennis (Paul), Mavournee Hazel (Piper), Tom Oliver (Lou Carpenter)",een,2020,Buren,8147,-, Soap,Reeks,2020
12-01-2021,16:20,"Tim Allen (Mike Baxter), Nancy Travis (Vanessa Baxter), Amanda Fuller (Kristin Baxter), Christoph Sanders (Kyle Anderson), Molly McCook (Mandy Baxter)",vtm,2018,Last Man Standing,7,22, Komische Serie,Reeks,7
12-01-2021,16:45,"Antje Hagen (Hildegard), Sepp Schauer (Alfons), Joachim Lätsch (André), Dieter Bach (Christoph), Uta Kargel (Eva)",vtm,2020,Sturm der Liebe,116,250, Soap,Reeks,16
12-01-2021,16:15,-,vier,2016,Sportfood,2,6,-,Magazine,1
12-01-2021,16:45,-,vier,2013,De Wereld op je Bord,3,21, Culinair Magazine,Serie,1
12-01-2021,17:10,"Hubert Damen (Commissaris Witse), Viv Van Dingenen (Tine Smets), Daan Hugaert (Romain Van Deun), Marc Stroobants (Rudy Dams), Dirk Tuypens (Hoofdcommissaris Peter Wijtinckx)",een,2012,Witse,2,13, Misdaadserie,Reeks,9
12-01-2021,17:45,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
12-01-2021,17:50,-,vtm,2018,Echte Verhalen: De Buurtpolitie,17,70, Reality-show,Serie,10
12-01-2021,17:05,-,vier,2019,Huizenjagers,13,36, Realityreeks,Reportage,5
12-01-2021,18:04,-,een,2021,Het journaal,-,-,-,Serie,-
12-01-2021,18:10,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
12-01-2021,18:15,-,een,-,Dagelijkse Kost,2701,240, Culinair Magazine,Serie,11
12-01-2021,18:30,-,een,2020,Blokken,5663,205, Quiz,Spelprogramma's,2020
12-01-2021,18:55,-,canvas,2021,De weekenden,3,10,-,Documentaire,2
12-01-2021,18:20,"Veerle Baetens (Sara De Roose), Gert Winckelmans (Simon Van Wijck), Lotte Pinoy (Helena de Lannoy), Kurt Rogiers (Alexander de Lannoy), Sandrine André (Britt Van Hove)",vtm,2007,Sara,187,199, Romantische Serie,Reeks,1
12-01-2021,18:00,-,vier,-,Tweedehands Deluxe,6,-, Reality-show,Serie,1
12-01-2021,19:00,-,een,2021,Het journaal,-,-,-,Serie,-
12-01-2021,19:40,-,een,2020,Iedereen beroemd,116,246,-,Reportage,2020
12-01-2021,19:40,"De Toots Sessies worden afwisselend gehost door Th, Isolde Lasoen, Eva De Roo",canvas,2021,De Toots Sessies,7,30, Cultuurmagazine,Serie,2
12-01-2021,19:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
12-01-2021,19:55,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
12-01-2021,19:00,-,vier,2015,Komen Eten,6,-, Culinair Magazine,Serie,14
12-01-2021,19:45,-,vier,2019,Huizenjagers,14,36, Realityreeks,Reportage,5
12-01-2021,20:05,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
12-01-2021,20:10,"Pol Goossen (Frank), Marleen Merckx (Simonne), Leah Thys (Marianne), Monika Van Lierde (Ann), Annick Segal (Rosa)",een,-,Thuis,4932,205, Soap,Reeks,26
12-01-2021,20:35,-,een,2020,Het hoge noorden,3,10, Realityreeks,Reportage,1
12-01-2021,20:00,-,canvas,2021,Terzake,-,-, Nieuws En Duiding,Serie,-
12-01-2021,20:35,-,canvas,2021,De afspraak,6,170, Praatprogramma Over De Actualiteit,Praatprogramma's,2021
12-01-2021,20:05,"Kürt Rogiers (Lars), Annie Geeraerts (Anna), Ray Verhaeghe (Albert), Sandrine André (Véronique), Jef De Smedt (Jan)",vtm,2020,Familie,102,220, Soap,Reeks,30
12-01-2021,20:40,-,vtm,2020,Groeten uit,2,6,-,Serie,6
12-01-2021,20:35,-,vier,2020,Boerenjaar,2,-,-,Magazine,2
12-01-2021,21:30,"Joke Emmers (Anja), Michaël Pas (Vincent), Chris Nietvelt (Daniëlle), Ikram Aouad (Lola), Lukas Van den Eynde (Erik)",een,2021,Leef,2,4, Komische Serie,Reeks,1
12-01-2021,21:55,-,een,2021,Het journaal,-,-,-,Serie,-
12-01-2021,21:20,"Peter Praatgasten Hartoch, Michel Jordens, Peter D'Hondt, Geert Vandaele, Ariane Braccio",canvas,2021,Strafrechters,2,4,-,Documentaire,1
12-01-2021,21:50,-,vtm,2017,Wetsdokters,1,8, Realityreeks,Reportage,1
12-01-2021,21:40,-,vier,2021,Big Brother,8,-, Reality-show,Serie,1
12-01-2021,22:10,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
12-01-2021,22:15,"Eugene Levy (Johnny Rose), Catherine O'Hara (Moira Rose), Dan Levy (David Rose), Annie Murphy (Alexis), Emily Hampshire (Stevie Budd)",een,2015,Schitt's Creek,6,13, Komische Serie,Reeks,1
12-01-2021,22:35,"De Toots Sessies worden afwisselend gehost door Th, Isolde Lasoen, Eva De Roo",een,2021,De Toots Sessies,7,30, Cultuurmagazine,Serie,2
12-01-2021,22:52,-,een,2021,Keno,12,365,-,Informatief Programma,2021
12-01-2021,22:53,-,een,2021,Euromillions,4,105,-,Informatief Programma,2021
12-01-2021,22:55,-,een,2020,Iedereen beroemd,116,246,-,Reportage,2020
12-01-2021,22:10,-,canvas,2021,De ideale wereld,1,32, Actualiteitenmagazine,Serie,2021
12-01-2021,22:55,-,canvas,2020,Winteruur,39,75,-,Praatprogramma's,6
12-01-2021,22:50,"Veerle Baetens (Sara De Roose), Gert Winckelmans (Simon Van Wijck), Lotte Pinoy (Helena de Lannoy), Kurt Rogiers (Alexander de Lannoy), Sandrine André (Britt Van Hove)",vtm,2007,Sara,187,199, Romantische Serie,Reeks,1
12-01-2021,22:35,-,vier,2020,Inside the QE2 Hotel,1,-,-,Documentaire,1
12-01-2021,23:15,-,een,-,Dagelijkse Kost,2701,240, Culinair Magazine,Serie,11
12-01-2021,23:30,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
12-01-2021,23:05,Jurjen Blick,canvas,2019,Stuk,4,4,-,Documentaire,1
12-01-2021,23:55,-,canvas,2021,Canvaslus,-,-,-,Serie,-
