Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
30-05-2021,02:05,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
30-05-2021,01:10,-,canvas,2021,Canvaslus,-,-,-,Serie,-
30-05-2021,05:55,"Walter Baele (Shelby/Max), Free Souffriau (Maya), Thomas Van Goethem (Willy), Jan Van Looveren (Kurt/Paul), Eline De Munck (Ben)",vtm,2012,Maya de Bij,24,78, Peuterprogramma,Jeugdprogramma,1
30-05-2021,06:05,-,vtm,2012,Taarten van Staf,2,10,-,Jeugdprogramma,1
30-05-2021,06:30,-,vtm,2019,Lenderd,7,16,-,Magazine,1
30-05-2021,06:40,"Jacques Vermeire, Josje Huisman, Kristel Verbeke, Karen Damen",vtm,2010,Hallo K3,12,13, Sitcom,Reeks,1
30-05-2021,07:00,"Jacques Vermeire, Josje Huisman, Kristel Verbeke, Karen Damen",vtm,2010,Hallo K3,13,13, Sitcom,Reeks,1
30-05-2021,07:25,-,vtm,2017,De Buurtpolitie - Extra,42,75, Reality,Show,1
30-05-2021,07:40,-,vtm,2017,De Buurtpolitie - Extra,43,75, Reality,Show,1
30-05-2021,07:55,-,vtm,2015,Dawn of the Croods,2,26, Animatie,Jeugdprogramma,1
30-05-2021,08:20,-,vtm,2015,Dawn of the Croods,3,26, Animatie,Jeugdprogramma,1
30-05-2021,08:40,-,vtm,2021,VLOGLAB Drama # Stories,11,15,-,Magazine,6
30-05-2021,09:00,-,een,-,Lentebeelden,-,-,-,Serie,-
30-05-2021,09:00,-,canvas,-,Lentebeelden,-,-,-,Serie,-
30-05-2021,09:10,"Ivo Pauwels (Nonkel Jef), Linda De Ridder (Odette Nollet), Luc Verhoeven (Izzi), Paul-Emile Van Royen (Louis), Nicole Laurent (Magda)",vtm,2001,Nonkel Jef,11,34, Komische Serie,Reeks,7
30-05-2021,09:35,-,vtm,2020,Geen uitzending,-,-,-,-,-
30-05-2021,10:00,-,canvas,2021,Ketnet Junior,150,365, Kleuterprogramma,Jeugdprogramma,2021
30-05-2021,11:00,-,een,2021,De Zevende Dag,17,36, Praatprogramma Over De Actualiteit,Serie,2021
30-05-2021,11:40,"Jesse Spencer (Matthew Casey), Taylor Kinney (Kelly Severide), Kara Killmer (Sylvie Brett), Eamonn Walker (Wallace Boden), David Eigenberg (Christopher Hermann)",vtm,2018,Chicago Fire,9,22, Dramaserie,Reeks,7
30-05-2021,12:25,-,vtm,2021,Drive,8,10, Automagazine,Serie,1
30-05-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
30-05-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
30-05-2021,13:30,-,een,-,Routes d'Ushuaia,3,-, Natuurdocumentaire,Serie,4
30-05-2021,13:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
30-05-2021,13:40,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
30-05-2021,13:45,"Rachel Bilson (Sam Swift), Eddie Cibrian (Eddie Valetik), Alice Lee (Monica), Xavier de Guzman (Roberto 'Berto' Vasquez), Aliyah O'Brien (Christine Rollins)",vtm,2018,Take Two,9,13, Dramaserie,Reeks,1
30-05-2021,14:00,-,een,-,Clips,1,-, Muziekclips,Serie,1
30-05-2021,14:10,-,een,2021,Vlaanderen vakantieland,5,8, Toeristisch Magazine,Serie,13
30-05-2021,14:25,-,een,2021,"Buurman, Wat Doet U Nu?",4,6,-,Documentaire,5
30-05-2021,14:40,-,vtm,2014,America's Funniest Home Videos,2,46, Komische Show,Serie,26
30-05-2021,14:50,-,vtm,2019,Beat VTM,6,10,-,Show,1
30-05-2021,15:05,-,een,2021,Dwars door de Middellandse Zee,8,9,-,Reportage,1
30-05-2021,15:50,-,een,2021,Sporza op zondag,-,-,-,Serie,-
30-05-2021,15:55,-,vtm,2013,Wild van Dieren,10,13, Natuurmagazine,Serie,1
30-05-2021,16:40,-,vtm,2021,BBQ Street,5,10, Culinair Magazine,Serie,1
30-05-2021,17:15,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
30-05-2021,17:20,-,vtm,2020,Lego Masters USA,3,10, Spelshow,Serie,1
30-05-2021,18:00,-,een,2021,Het journaal,-,-,-,Serie,-
30-05-2021,18:10,-,een,-,Dagelijkse Kost,2819,240, Culinair Magazine,Serie,11
