Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
10-05-2021,01:55,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
10-05-2021,00:35,-,canvas,2021,Canvaslus,-,-,-,Serie,-
10-05-2021,05:55,-,vtm,2009,TiTaToverfeest,159,250, Jeugd,Jeugdprogramma,1
10-05-2021,06:10,-,vtm,2009,TiTaToverfeest,160,250, Jeugd,Jeugdprogramma,1
10-05-2021,06:20,-,vtm,1998,Kabouter plop,10,60, Kleuterprogramma,Jeugdprogramma,1998
10-05-2021,06:25,-,vtm,1998,Kabouter plop,11,60, Kleuterprogramma,Jeugdprogramma,1998
10-05-2021,06:35,-,vtm,2018,Trolls: The Beat Goes On!,16,26, Animatie,Jeugdprogramma,1
10-05-2021,06:55,-,vtm,2020,Lego Ninjago,26,32, Animatie,Jeugdprogramma,2
10-05-2021,07:10,-,vtm,2015,Lang Leve Koning Julien,6,26, Animatie,Jeugdprogramma,2
10-05-2021,07:35,-,vtm,2016,Kong - Koning van de Apen,6,16, Animatie,Jeugdprogramma,1
10-05-2021,07:55,-,vtm,2017,De Buurtpolitie - Extra,16,75, Reality,Show,1
10-05-2021,08:10,-,vtm,2017,De Buurtpolitie - Extra,17,75, Reality,Show,1
10-05-2021,08:25,-,vtm,2015,Het Middelbaar,51,71, Jeugd,Jeugdprogramma,3
10-05-2021,08:35,-,vtm,2015,Het Middelbaar,52,71, Jeugd,Jeugdprogramma,3
10-05-2021,08:45,-,vtm,2015,Dawn of the Croods,16,26, Animatie,Jeugdprogramma,1
10-05-2021,09:00,-,een,-,Lentebeelden,-,-,-,Serie,-
10-05-2021,09:00,-,canvas,-,Lentebeelden,-,-,-,Serie,-
10-05-2021,09:10,"Karen Damen, Kristel Verbeke, Josje Huisman, Jacques Vermeire (Marcel), Winston Post (Bas)",vtm,2012,Hallo K3,14,14, Sitcom,Reeks,3
10-05-2021,09:35,-,vtm,2020,Loïc: Zot van Koken,61,95, Culinair Magazine,Serie,2
10-05-2021,09:50,-,vtm,2020,Geen uitzending,-,-,-,-,-
10-05-2021,10:00,-,een,2020,Radio 2 op één,180,220,-,Serie,2020
10-05-2021,10:00,-,canvas,2021,Ketnet Junior,130,365, Kleuterprogramma,Jeugdprogramma,2021
10-05-2021,11:55,-,vtm,2019,Echte Verhalen: De Buurtpolitie,29,40, Reality,Show,11
10-05-2021,12:00,-,een,-,Lentebeelden,-,-,-,Serie,-
10-05-2021,12:20,-,een,-,Dagelijkse Kost,2800,240, Culinair Magazine,Serie,11
10-05-2021,12:35,-,een,2020,Blokken,5662,205, Quiz,Spelprogramma,2020
10-05-2021,12:25,"Tinne Oltmans (Lisa), Oscar Willems (Jonas), Anouck Luyten (Katja), Bert Verbeke (Gert), Hilde De Baerdemaeker (Suzanne)",vtm,2021,Lisa,73,205, Romantische Serie,Reeks,1
10-05-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
10-05-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
10-05-2021,13:30,-,een,2020,Iedereen beroemd,215,246,-,Reportage,2020
10-05-2021,13:55,"Pol Goossen (Frank), Marleen Merckx (Simonne), Leah Thys (Marianne), Monika Van Lierde (Ann), Annick Segal (Rosa)",een,2017,Thuis,4443,-, Soap,Reeks,23
10-05-2021,13:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
10-05-2021,13:30,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
10-05-2021,13:40,"Caroline Maes (Mieke), Annie Geeraerts (Anna), Ray Verhaeghe (Albert), Sandrine André (Véronique), Gunter De Batselier (Peter)",vtm,2015,Familie,76,223, Soap,Reeks,25
10-05-2021,14:25,-,een,2015,First dates,24,-, Datingprogramma,Show,4
10-05-2021,14:15,"Stan Van Samang (Kevin), Peter Bulckaen (Max), Sandrine André (Merel), Ron Cornet (Jean-Paul Derdeyn), Hilde Gijsbrechts (Elke)",vtm,2005,Wittekerke,2,82, Soap,Reeks,13
